tau,gamma,rho,R0
0.004941239792449111,0.44965994157065486,0.009537523313507164,0.2995556959591823
0.004946257669378906,0.44894671638083694,0.009545036794668086,0.30033627410004227
0.004948259710783376,0.4488423950679667,0.009551940597677232,0.30052767117849677
0.00494681510160152,0.4499559838376958,0.009535861927792686,0.2996963803426146
0.004942353801078444,0.44921967054417533,0.009561519611014157,0.29991688577259096
0.004942063311675892,0.4505759835006205,0.009523412643548973,0.2989965084903361
0.0049358443189087544,0.4503429348311091,0.009544778931881392,0.29877479078008184
0.004943725140865099,0.4497977929469323,0.009518760494078675,0.29961451446224074
0.004940641259003382,0.44936488297921706,0.009541465517432356,0.2997160788967597
0.00494547028484192,0.4496922781619564,0.009546234891795293,0.2997906046237194
0.004939971794692127,0.44992037824897424,0.009546126383117293,0.29930547188682355
0.004941239792449111,0.44965994157065486,0.009537523313507164,0.2995556959591823
0.004941239792449111,0.44965994157065486,0.009537523313507164,0.2995556959591823
0.00493461283275127,0.4500905327837796,0.009549887697951212,0.29886775220269063
0.004933075117802609,0.45008421454675246,0.009526025994563984,0.29877881375315485
0.004950662241966063,0.44989514074582715,0.009534623835505832,0.299970016329292
0.004942762222882754,0.4495414274791086,0.009544281614345179,0.29972698834757694
0.00494659865063304,0.44967102867205805,0.009532345148254977,0.299873175317678
0.004936303381725106,0.4491807818157803,0.009547711240698014,0.2995756622575499
0.00493643010029727,0.4492875185207141,0.00954093108748839,0.2995121809240723
0.004936646725819667,0.449666638574593,0.009542296353151111,0.2992727905553093
0.004936542317407263,0.44921530925835024,0.009533233208589145,0.2995671358456058
0.0049472121229058395,0.4492910420149991,0.009549581860322157,0.30016401365489725
0.004941239792449111,0.44965994157065486,0.009537523313507164,0.2995556959591823
0.013515777660328179,0.485065964432645,0.001074277027023375,0.7595669992049232
0.013501249619831727,0.48472324836932634,0.0010746766061846091,0.759287007327918
0.013520709030881794,0.4845126087433526,0.0010725978424304522,0.7607119433646616
0.013530590129821532,0.48527878938721347,0.0010740334897224259,0.7600659559110201
0.013526535041655347,0.48555985269809165,0.0010757266939315265,0.7593983381999119
0.013516252501881243,0.48451338300811453,0.0010735189816015148,0.7604599916595326
0.013519608604303934,0.4847240237838277,0.0010754447683494423,0.7603182686849559
0.013507579120713218,0.485647925633521,0.0010738481785923552,0.7581966016848705
0.013517931795968451,0.4842697583312883,0.0010741621603493473,0.7609370901620712
0.013536564671517483,0.48551101581660977,0.0010731707067504741,0.760037858924606
0.01353238753874045,0.4845336469993008,0.0010737164265939155,0.7613359497128938
