sim_id,replicate_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
0,0,0.007916200239451103,0.23168812158450555,0.002772215381327487,1.1617,1249.740670078257,34.43037974683544,11572.0,0.11572,1
1,1,0.007916200239451103,0.23168812158450555,0.002772215381327487,1.1617,1835.6953575378939,24.303797468354432,13962.0,0.13962,1
2,0,0.006824509580110161,0.2449935700308308,0.007371133766223663,0.9471,983.8363916076455,19.240506329113927,8583.0,0.08583,1
3,1,0.006824509580110161,0.2449935700308308,0.007371133766223663,0.9471,847.7893282391299,20.253164556962027,7874.0,0.07874,1
4,0,0.012298719323738173,0.3905812043969422,0.002320243563307814,1.0706,1384.929365174804,18.227848101265824,11208.0,0.11208,1
5,1,0.012298719323738173,0.3905812043969422,0.002320243563307814,1.0706,1081.1206194170138,12.151898734177216,10069.0,0.10069,1
6,0,0.012166717096012317,0.4530729655426405,0.0015576468199873803,0.913,594.7461914319657,15.18987341772152,6537.0,0.06537,1
7,1,0.012166717096012317,0.4530729655426405,0.0015576468199873803,0.913,733.2650957978053,14.177215189873419,7570.0,0.0757,1
8,0,0.008674261712610947,0.23936212509677876,0.0040005338038407,1.2321,2290.721311966822,22.27848101265823,17862.0,0.17862,0
9,1,0.008674261712610947,0.23936212509677876,0.0040005338038407,1.2321,2453.258369694052,20.253164556962027,16697.0,0.16697,0
10,0,0.01189515477809314,0.3625458108249841,0.004896673182280437,1.1155,1875.628971125046,15.18987341772152,13962.0,0.13962,1
11,1,0.01189515477809314,0.3625458108249841,0.004896673182280437,1.1155,1577.2553429946202,15.18987341772152,12563.0,0.12563,1
12,0,0.012881184808174862,0.2980816666210034,0.004550169871898836,1.4693,3521.1206431143246,14.177215189873419,23445.0,0.23445,0
13,1,0.012881184808174862,0.2980816666210034,0.004550169871898836,1.4693,3591.4163950975926,14.177215189873419,23178.0,0.23178,0
14,0,0.010481704123347308,0.40342596706231376,0.0024420192749351984,0.8834,599.7416269228114,15.18987341772152,5915.0,0.05915,1
15,1,0.010481704123347308,0.40342596706231376,0.0024420192749351984,0.8834,514.3746424465769,9.113924050632912,4892.0,0.04892,1
16,0,0.01918801079860628,0.4360793275147042,0.002550104209634277,1.496,3751.7113337058736,10.126582278481013,23574.0,0.23574,0
17,1,0.01918801079860628,0.4360793275147042,0.002550104209634277,1.496,3727.2085090476953,11.139240506329115,23765.0,0.23765,0
18,0,0.008015904240055015,0.44058248638776903,0.009071371280381463,0.6186,907.0,0.0,3009.0,0.03009,0
19,1,0.008015904240055015,0.44058248638776903,0.009071371280381463,0.6186,907.0,0.0,3148.0,0.03148,0
20,0,0.010741441292703189,0.46037120957502936,0.00845078896024965,0.7933,845.0,0.0,5672.0,0.05672,0
21,1,0.010741441292703189,0.46037120957502936,0.00845078896024965,0.7933,845.0,0.0,5478.0,0.05478,0
22,0,0.011813418375500664,0.4592443251128226,0.008143098799232118,0.8746,814.0,0.0,6256.0,0.06256,1
23,1,0.011813418375500664,0.4592443251128226,0.008143098799232118,0.8746,814.0,0.0,7024.0,0.07024,1
24,0,0.014236375323783673,0.30575794809948104,0.00850605461941375,1.5831,4433.9529489780425,11.139240506329115,27929.0,0.27929,0
25,1,0.014236375323783673,0.30575794809948104,0.00850605461941375,1.5831,4145.087182124947,13.164556962025317,27420.0,0.2742,0
26,0,0.002799580497657754,0.2609521989082528,0.008991877926754632,0.3648,899.0,0.0,1179.0,0.01179,0
27,1,0.002799580497657754,0.2609521989082528,0.008991877926754632,0.3648,899.0,0.0,1355.0,0.01355,0
28,0,0.007366834682025437,0.22087107429658978,0.008077757834879769,1.134,1626.8322917259513,18.227848101265824,13324.0,0.13324,1
29,1,0.007366834682025437,0.22087107429658978,0.008077757834879769,1.134,2134.533519572077,17.21518987341772,13957.0,0.13957,1
30,0,0.006537232737752625,0.28395353168497073,0.008237449672235508,0.7828,824.0,0.0,5533.0,0.05533,0
31,1,0.006537232737752625,0.28395353168497073,0.008237449672235508,0.7828,824.0,0.0,4231.0,0.04231,0
32,0,0.008709973946338002,0.27925050190607675,0.0011517568516009977,1.0605,1279.5008301613932,23.291139240506332,9863.0,0.09863,1
33,1,0.008709973946338002,0.27925050190607675,0.0011517568516009977,1.0605,1154.1415527102722,29.367088607594937,10757.0,0.10757,1
34,0,0.009794101015935187,0.3350708675565361,0.0020390793762462317,0.9938,664.6349162232759,29.367088607594937,7744.0,0.07744,1
35,1,0.009794101015935187,0.3350708675565361,0.0020390793762462317,0.9938,647.8233773727603,25.31645569620253,7571.0,0.07571,1
36,0,0.005799757123114252,0.17476784289009295,0.0024791247001443146,1.1283,1407.8108590666695,38.481012658227854,11080.0,0.1108,1
37,1,0.005799757123114252,0.17476784289009295,0.0024791247001443146,1.1283,1301.3872734275722,32.40506329113924,10587.0,0.10587,1
38,0,0.0036439999740633744,0.1566584385456319,0.009333327344275864,0.7909,933.0,0.0,5523.0,0.05523,0
39,1,0.0036439999740633744,0.1566584385456319,0.009333327344275864,0.7909,933.0,0.0,5056.0,0.05056,0
40,0,0.012681056589805152,0.4260502009032084,0.006043584036310263,1.012,1273.1344514470616,9.113924050632912,10559.0,0.10559,1
41,1,0.012681056589805152,0.4260502009032084,0.006043584036310263,1.012,1001.7802439902887,10.126582278481013,9549.0,0.09549,1
42,0,0.013547903790613686,0.3758063818290784,0.005096253031759812,1.2257,1696.902445376663,17.21518987341772,15782.0,0.15782,0
43,1,0.013547903790613686,0.3758063818290784,0.005096253031759812,1.2257,2123.595175654954,12.151898734177216,16207.0,0.16207,0
44,0,0.011083378290209769,0.41291288344939214,0.00985886364099624,0.9126,986.0,0.0,7365.0,0.07365,1
45,1,0.011083378290209769,0.41291288344939214,0.00985886364099624,0.9126,1091.7087154401606,6.075949367088608,8866.0,0.08866,1
46,0,0.016312502508968943,0.47715476961266334,0.00429748241628217,1.1624,1220.8779109173443,9.113924050632912,11945.0,0.11945,1
47,1,0.016312502508968943,0.47715476961266334,0.00429748241628217,1.1624,1685.327426798106,13.164556962025317,14584.0,0.14584,1
48,0,0.004855319310542081,0.22176718419715472,0.006388557152357087,0.7444,639.0,0.0,3725.0,0.03725,0
49,1,0.004855319310542081,0.22176718419715472,0.006388557152357087,0.7444,639.0,0.0,4539.0,0.04539,0
50,0,0.004540855448508197,0.24190909763034502,0.004498042469220718,0.6382,450.0,0.0,2448.0,0.02448,0
51,1,0.004540855448508197,0.24190909763034502,0.004498042469220718,0.6382,450.0,0.0,1731.0,0.01731,0
52,0,0.009996738865053534,0.2511774827697888,0.006003866157825476,1.3532,2862.827429212188,16.20253164556962,20306.0,0.20306,0
53,1,0.009996738865053534,0.2511774827697888,0.006003866157825476,1.3532,2503.858941570891,20.253164556962027,19282.0,0.19282,0
54,0,0.011194327346215317,0.27873043822384735,0.005387251860147032,1.3655,2945.998794634041,13.164556962025317,19206.0,0.19206,0
55,1,0.011194327346215317,0.27873043822384735,0.005387251860147032,1.3655,2862.110277779376,17.21518987341772,19732.0,0.19732,0
56,0,0.003823311226137614,0.2473537910948098,0.0046003952417442906,0.5255,460.0,0.0,1075.0,0.01075,0
57,1,0.003823311226137614,0.2473537910948098,0.0046003952417442906,0.5255,460.0,0.0,1671.0,0.01671,0
58,0,0.0028305272214506,0.06455829925450986,0.006100203050901899,1.4907,3653.8533747473116,58.734177215189874,12685.0,0.12685,0
59,1,0.0028305272214506,0.06455829925450986,0.006100203050901899,1.4907,3635.9832031165447,68.86075949367088,11669.0,0.11669,0
60,0,0.001379338035992516,0.07435415527671167,0.0037409578197348443,0.6307,374.0,0.0,994.0,0.00994,0
61,1,0.001379338035992516,0.07435415527671167,0.0037409578197348443,0.6307,374.0,0.0,1320.0,0.0132,0
62,0,0.006086534889847965,0.28595102046854054,0.005230778670592132,0.7237,523.0,0.0,4148.0,0.04148,0
63,1,0.006086534889847965,0.28595102046854054,0.005230778670592132,0.7237,523.0,0.0,3390.0,0.0339,0
64,0,0.004918526795966287,0.1283627285223631,0.006161822439675705,1.3028,2476.4930811198233,33.41772151898734,16588.0,0.16588,0
65,1,0.004918526795966287,0.1283627285223631,0.006161822439675705,1.3028,2486.7805120354997,37.46835443037975,16551.0,0.16551,0
66,0,0.008118551175634816,0.3394348206060036,0.006023069674216256,0.8132,602.0,0.0,5326.0,0.05326,1
67,1,0.008118551175634816,0.3394348206060036,0.006023069674216256,0.8132,613.7902858357879,11.139240506329115,5772.0,0.05772,1
68,0,0.00872968464964368,0.3518173998428171,0.005221545397740586,0.8436,549.8109080752848,18.227848101265824,6021.0,0.06021,1
69,1,0.00872968464964368,0.3518173998428171,0.005221545397740586,0.8436,522.0,0.0,4203.0,0.04203,1
70,0,0.007496243141727281,0.348685015669991,0.007628570340245902,0.731,763.0,0.0,2852.0,0.02852,0
71,1,0.007496243141727281,0.348685015669991,0.007628570340245902,0.731,763.0,0.0,5113.0,0.05113,0
72,0,0.01163999099501258,0.31031454136338815,0.0072878897472107565,1.2754,2185.563920579225,16.20253164556962,16995.0,0.16995,0
73,1,0.01163999099501258,0.31031454136338815,0.0072878897472107565,1.2754,2768.661564866782,14.177215189873419,19427.0,0.19427,0
74,0,0.00580587423601433,0.2307835225066262,0.0016436480392592243,0.8553,363.4562348723548,56.708860759493675,4550.0,0.0455,1
75,1,0.00580587423601433,0.2307835225066262,0.0016436480392592243,0.8553,402.3010338292985,38.481012658227854,4145.0,0.04145,1
76,0,0.014164823907886976,0.3905818508816298,0.008861922363584011,1.233,2239.714999793163,9.113924050632912,16646.0,0.16646,0
77,1,0.014164823907886976,0.3905818508816298,0.008861922363584011,1.233,2180.215209762575,9.113924050632912,16379.0,0.16379,0
