sim_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
0,0.004531,0.197192,0.006766,0.6116,68.0,0.0,100.33333333333333,100.33333333333333,0
1,0.012989,0.461713,0.004809,0.7487,48.0,0.0,67.66666666666667,67.66666666666667,0
2,0.016377,0.077496,0.00962,5.6244,1833.4905976469745,30.15075376884422,6661.333333333333,6661.333333333333,0
3,0.008439,0.350481,0.003159,0.6409,32.0,0.0,55.0,55.0,0
4,0.00686,0.164871,0.004257,1.1074,43.0,0.0,76.0,76.0,1
5,0.01442,0.330292,0.006237,1.1619,62.0,0.0,237.66666666666666,237.66666666666666,1
6,0.011438,0.271064,0.001477,1.1231,16.658824495076747,12.060301507537687,79.33333333333333,79.33333333333333,1
7,0.002546,0.428151,0.007954,0.1582,80.0,0.0,84.33333333333333,84.33333333333333,0
8,0.004092,0.105203,0.001625,1.0352,16.0,0.0,62.0,62.0,1
9,0.009778,0.376495,0.00865,0.6912,87.0,0.0,153.0,153.0,0
10,0.014143,0.223233,0.003284,1.6862,49.13931605995233,35.175879396984925,554.6666666666666,554.6666666666666,0
11,0.007024,0.489446,0.005805,0.3819,58.0,0.0,69.33333333333333,69.33333333333333,0
12,0.009173,0.24337,0.009206,1.0032,92.0,0.0,330.3333333333333,330.3333333333333,1
13,0.015757,0.402124,0.002169,1.0429,22.012213655511356,22.110552763819094,177.33333333333334,177.33333333333334,1
14,0.011899,0.138817,0.00748,2.2813,340.2932127959005,30.15075376884422,2217.0,2217.0,0
15,0.005735,0.302571,0.004939,0.5044,49.0,0.0,57.666666666666664,57.666666666666664,0
16,0.005534,0.126443,0.008589,1.1648,86.0,0.0,252.66666666666666,252.66666666666666,1
17,0.012097,0.290196,0.002108,1.1094,21.0,0.0,56.666666666666664,56.666666666666664,1
18,0.015559,0.255324,0.005743,1.6219,61.542779345368594,27.135678391959797,644.0,644.0,0
19,0.009374,0.414078,0.003766,0.6025,38.0,0.0,48.0,48.0,0
20,0.007738,0.208312,0.002669,0.9887,27.0,0.0,41.333333333333336,41.333333333333336,1
21,0.013431,0.474526,0.009126,0.7533,91.0,0.0,150.33333333333334,150.33333333333334,0
22,0.010489,0.119704,0.00544,2.3322,302.99442381267414,36.18090452261306,2124.6666666666665,2124.6666666666665,0
23,0.003377,0.390996,0.007401,0.2299,74.0,0.0,79.0,79.0,0
24,0.003199,0.283045,0.004449,0.3009,44.0,0.0,49.666666666666664,49.666666666666664,0
25,0.01078,0.440132,0.006986,0.6519,70.0,0.0,123.0,123.0,0
26,0.015078,0.152471,0.002799,2.6319,395.9353414991985,42.211055276381906,2609.3333333333335,2609.3333333333335,0
27,0.006206,0.317891,0.009841,0.5196,98.0,0.0,124.0,124.0,0
28,0.008185,0.09197,0.00644,2.3686,318.89300148162334,41.20603015075376,2148.0,2148.0,0
29,0.016635,0.364955,0.003914,1.2132,39.0,0.0,335.3333333333333,335.3333333333333,0
30,0.01273,0.182298,0.008156,1.8586,148.3917148365259,31.15577889447236,1294.3333333333333,1294.3333333333333,0
31,0.004786,0.446819,0.001135,0.2851,11.0,0.0,12.666666666666666,12.666666666666666,0
32,0.004999,0.074987,0.003417,1.7742,101.8932344626694,76.38190954773869,790.0,790.0,0
33,0.012517,0.339522,0.005943,0.9812,59.0,0.0,101.33333333333333,101.33333333333333,1
34,0.016878,0.199699,0.001772,2.2495,292.0906993003482,24.120603015075375,1928.3333333333333,1928.3333333333333,0
35,0.007942,0.472671,0.008793,0.4472,88.0,0.0,111.0,111.0,0
36,0.006448,0.260188,0.007623,0.6596,76.0,0.0,131.66666666666666,131.66666666666666,0
37,0.014836,0.425621,0.005086,0.9278,51.0,0.0,192.33333333333334,192.33333333333334,1
38,0.010995,0.17575,0.009343,1.6651,113.20660326032906,25.125628140703515,877.0,877.0,0
39,0.002985,0.332823,0.002302,0.2387,23.0,0.0,26.0,26.0,0
40,0.003621,0.227395,0.009474,0.4238,95.0,0.0,117.0,117.0,0
41,0.010246,0.498701,0.003017,0.5468,30.0,0.0,37.333333333333336,37.333333333333336,0
42,0.013644,0.101042,0.006632,3.594,902.2594711323185,36.18090452261306,4385.333333333333,4385.333333333333,0
43,0.007525,0.367244,0.004671,0.5453,47.0,0.0,60.666666666666664,60.666666666666664,0
