replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,24,0.6465870141983032,14912.4697265625,33.70436477661133,694.3867797851562,43084.78125,4.789595945676168,best_balanced_mlp_model_1.pt,experiments\Ablation studies\out\trained-models\no_spline
2,123,27,0.6754293441772461,15213.3955078125,30.882173538208008,854.7561645507812,44372.05859375,4.469093946615855,best_balanced_mlp_model_2.pt,experiments\Ablation studies\out\trained-models\no_spline
3,456,24,0.6439388990402222,14613.005859375,34.84402847290039,975.5145874023438,42512.9453125,4.0607238928476965,best_balanced_mlp_model_3.pt,experiments\Ablation studies\out\trained-models\no_spline
4,789,28,0.6706286072731018,14853.419921875,33.87261199951172,1084.1429443359375,43369.4140625,3.9806355396906534,best_balanced_mlp_model_4.pt,experiments\Ablation studies\out\trained-models\no_spline
5,1011,27,0.6209747791290283,15305.609375,32.732765197753906,1045.71533203125,44406.57421875,4.241187357902527,best_balanced_mlp_model_5.pt,experiments\Ablation studies\out\trained-models\no_spline
6,1213,81,0.9318438172340393,14644.7578125,36.92351531982422,847.9013061523438,43192.6640625,4.434170730908712,best_balanced_mlp_model_6.pt,experiments\Ablation studies\out\trained-models\no_spline
7,1415,34,0.7110008001327515,14889.2373046875,32.54197311401367,672.9981689453125,43383.37890625,4.330874053637187,best_balanced_mlp_model_7.pt,experiments\Ablation studies\out\trained-models\no_spline
8,1617,29,0.6632724404335022,14849.833984375,33.76633071899414,612.38916015625,43432.42578125,4.261225179831187,best_balanced_mlp_model_8.pt,experiments\Ablation studies\out\trained-models\no_spline
9,1819,44,0.8122103214263916,14878.7509765625,40.68854522705078,781.6698608398438,43801.72265625,4.130369790395101,best_balanced_mlp_model_9.pt,experiments\Ablation studies\out\trained-models\no_spline
10,2021,23,0.6059786081314087,15633.6376953125,31.452350616455078,648.951904296875,45249.72265625,4.033312106132508,best_balanced_mlp_model_10.pt,experiments\Ablation studies\out\trained-models\no_spline
