replicate_id,train_strategy,test_strategy,augmentation,in_domain,n_train_simulations,relative_MAE_I,R2_I,MAE_I,R2_S,R2_R,R2_overall,MAE_S,MAE_R,RMSE,MSE,mean_peak_I,n_test_samples,model_path,training_epoch,source_file,peak_I,condition_id
1,LHS,LHS,0,0,2800,6.2988,0.935098,163.2279,0.985955,0.984963,0.997182,1559.2844,1559.6222,2237.8757,5008087.5,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_1.pt,99,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
2,LHS,LHS,0,0,2800,6.6589,0.937894,158.8861,0.98688,0.986249,0.997392,1534.6743,1525.9868,2153.0298,4635537.5,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_2.pt,96,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
3,LHS,LHS,0,0,2800,6.3992,0.936721,155.7145,0.986076,0.985514,0.997246,1490.1917,1475.8263,2212.3149,4894337.0,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_3.pt,94,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
4,LHS,LHS,0,0,2800,6.6328,0.937746,156.957,0.986406,0.985945,0.997318,1467.7682,1454.2513,2183.0349,4765641.5,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_4.pt,99,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
5,LHS,LHS,0,0,2800,6.7951,0.933664,161.0186,0.986697,0.986204,0.997363,1463.4814,1449.3961,2164.9404,4686967.0,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_5.pt,98,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
6,LHS,LHS,0,0,2800,5.9168,0.936332,154.0543,0.982518,0.981958,0.996583,1649.0262,1626.6034,2464.3907,6073221.5,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_6.pt,98,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
7,LHS,LHS,0,0,2800,6.6855,0.934186,164.0914,0.985288,0.98433,0.997059,1533.826,1534.6923,2286.1258,5226371.0,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_7.pt,100,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
8,LHS,LHS,0,0,2800,6.8134,0.934636,164.348,0.985838,0.984874,0.997162,1583.1182,1579.4336,2245.8405,5043799.5,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_8.pt,84,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
9,LHS,LHS,0,0,2800,6.1346,0.938927,153.2942,0.983478,0.983016,0.996775,1623.6837,1605.7964,2394.115,5731786.5,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_9.pt,97,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
10,LHS,LHS,0,0,2800,7.0456,0.936807,158.7181,0.98603,0.9857,0.997259,1547.8854,1526.5427,2207.2816,4872092.0,4015.44,600,experiments\lhs-sampling\out\results\testing\lhs_no_augmentation\trained models\best_balanced_mlp_model_10.pt,84,replicate_results_LHS_to_LHS_aug0.csv,,LHS_LHS_0
