peak_I,test_strategy,train_strategy,augmentation
964.0,LHS,MCMC,1
47.0,LHS,MCMC,1
499.0,LHS,MCMC,1
246.0,LHS,MCMC,1
986.0,LHS,MCMC,1
58099.516,LHS,MCMC,1
462.0,LHS,MCMC,1
44.0,LHS,MCMC,1
133.0,LHS,MCMC,1
79.0,LHS,MCMC,1
172.0,LHS,MCMC,1
40983.59,LHS,MCMC,1
1199.0223,LHS,MCMC,1
1163.9547,LHS,MCMC,1
768.0,LHS,MCMC,1
9409.419,LHS,MCMC,1
312.0,LHS,MCMC,1
173.0,LHS,MCMC,1
908.0,LHS,MCMC,1
445.8799,LHS,MCMC,1
525.0,LHS,MCMC,1
492.0,LHS,MCMC,1
3169.6702,LHS,MCMC,1
145.0,LHS,MCMC,1
166.0,LHS,MCMC,1
7977.0938,LHS,MCMC,1
693.5352,LHS,MCMC,1
31.0,LHS,MCMC,1
707.0173,LHS,MCMC,1
384.0,LHS,MCMC,1
1521.9558,LHS,MCMC,1
651.0,LHS,MCMC,1
883.0,LHS,MCMC,1
653.0,LHS,MCMC,1
714.0,LHS,MCMC,1
2691.6624,LHS,MCMC,1
7577.339,LHS,MCMC,1
439.0,LHS,MCMC,1
1959.7631,LHS,MCMC,1
2352.3274,LHS,MCMC,1
537.0,LHS,MCMC,1
657.0,LHS,MCMC,1
1449.8561,LHS,MCMC,1
240.0,LHS,MCMC,1
1825.5331,LHS,MCMC,1
2820.9026,LHS,MCMC,1
17810.047,LHS,MCMC,1
7874.8745,LHS,MCMC,1
650.0,LHS,MCMC,1
233.0,LHS,MCMC,1
6893.757,LHS,MCMC,1
2593.9685,LHS,MCMC,1
81.0,LHS,MCMC,1
1896.1023,LHS,MCMC,1
8413.854,LHS,MCMC,1
186.0,LHS,MCMC,1
7913.536,LHS,MCMC,1
12.0,LHS,MCMC,1
892.0,LHS,MCMC,1
543.0,LHS,MCMC,1
835.0,LHS,MCMC,1
491.0,LHS,MCMC,1
895.0,LHS,MCMC,1
1910.488,LHS,MCMC,1
473.0,LHS,MCMC,1
2174.4385,LHS,MCMC,1
2280.759,LHS,MCMC,1
472.0,LHS,MCMC,1
691.0,LHS,MCMC,1
28362.771,LHS,MCMC,1
1202.5558,LHS,MCMC,1
1951.0726,LHS,MCMC,1
464.1191,LHS,MCMC,1
290.0,LHS,MCMC,1
193.0,LHS,MCMC,1
850.0,LHS,MCMC,1
30082.514,LHS,MCMC,1
674.0,LHS,MCMC,1
579.0,LHS,MCMC,1
8830.649,LHS,MCMC,1
24.0,LHS,MCMC,1
373.0,LHS,MCMC,1
608.31256,LHS,MCMC,1
245.0,LHS,MCMC,1
730.0,LHS,MCMC,1
178.0,LHS,MCMC,1
442.0,LHS,MCMC,1
14206.631,LHS,MCMC,1
202.0,LHS,MCMC,1
806.0,LHS,MCMC,1
13414.77,LHS,MCMC,1
45259.113,LHS,MCMC,1
136.0,LHS,MCMC,1
170.0,LHS,MCMC,1
146.0,LHS,MCMC,1
421.0,LHS,MCMC,1
736.0,LHS,MCMC,1
3562.008,LHS,MCMC,1
1827.9995,LHS,MCMC,1
7543.5073,LHS,MCMC,1
673.0,LHS,MCMC,1
277.0,LHS,MCMC,1
7691.1553,LHS,MCMC,1
981.0,LHS,MCMC,1
720.8608,LHS,MCMC,1
1709.953,LHS,MCMC,1
720.0,LHS,MCMC,1
2918.5803,LHS,MCMC,1
39.0,LHS,MCMC,1
22279.045,LHS,MCMC,1
591.0,LHS,MCMC,1
109.0,LHS,MCMC,1
618.0,LHS,MCMC,1
11469.707,LHS,MCMC,1
338.0,LHS,MCMC,1
2310.119,LHS,MCMC,1
612.0,LHS,MCMC,1
165.0,LHS,MCMC,1
960.0,LHS,MCMC,1
15897.518,LHS,MCMC,1
1903.2793,LHS,MCMC,1
11994.231,LHS,MCMC,1
4090.2485,LHS,MCMC,1
875.0,LHS,MCMC,1
35.0,LHS,MCMC,1
472.0,LHS,MCMC,1
549.0,LHS,MCMC,1
332.0,LHS,MCMC,1
10323.545,LHS,MCMC,1
652.0,LHS,MCMC,1
94.0,LHS,MCMC,1
370.0,LHS,MCMC,1
393.0,LHS,MCMC,1
777.0,LHS,MCMC,1
468.0,LHS,MCMC,1
6039.5615,LHS,MCMC,1
948.0,LHS,MCMC,1
24320.996,LHS,MCMC,1
6174.2393,LHS,MCMC,1
37269.24,LHS,MCMC,1
876.0,LHS,MCMC,1
271.8135,LHS,MCMC,1
18.0,LHS,MCMC,1
1723.2955,LHS,MCMC,1
26833.541,LHS,MCMC,1
690.0,LHS,MCMC,1
335.0,LHS,MCMC,1
9182.797,LHS,MCMC,1
7618.7197,LHS,MCMC,1
425.0,LHS,MCMC,1
17359.484,LHS,MCMC,1
