peak_I,test_strategy,train_strategy,augmentation
18134.8,UNIFORM_RANDOM,UNIFORM_RANDOM,1
990.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
493.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
792.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
726.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
11898.14,UNIFORM_RANDOM,UNIFORM_RANDOM,1
140.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
18003.033,UNIFORM_RANDOM,UNIFORM_RANDOM,1
601.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
5079.0474,UNIFORM_RANDOM,UNIFORM_RANDOM,1
334.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
341.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
988.4449,UNIFORM_RANDOM,UNIFORM_RANDOM,1
511.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
184.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
6280.046,UNIFORM_RANDOM,UNIFORM_RANDOM,1
1569.4371,UNIFORM_RANDOM,UNIFORM_RANDOM,1
46294.125,UNIFORM_RANDOM,UNIFORM_RANDOM,1
470.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
11396.769,UNIFORM_RANDOM,UNIFORM_RANDOM,1
1412.5157,UNIFORM_RANDOM,UNIFORM_RANDOM,1
566.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
567.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
398.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
483.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
674.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
239.5757,UNIFORM_RANDOM,UNIFORM_RANDOM,1
791.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
713.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
6315.214,UNIFORM_RANDOM,UNIFORM_RANDOM,1
556.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
692.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
33.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
136.02773,UNIFORM_RANDOM,UNIFORM_RANDOM,1
138.11166,UNIFORM_RANDOM,UNIFORM_RANDOM,1
5762.0557,UNIFORM_RANDOM,UNIFORM_RANDOM,1
15169.188,UNIFORM_RANDOM,UNIFORM_RANDOM,1
33811.24,UNIFORM_RANDOM,UNIFORM_RANDOM,1
3044.3843,UNIFORM_RANDOM,UNIFORM_RANDOM,1
35227.54,UNIFORM_RANDOM,UNIFORM_RANDOM,1
3545.1506,UNIFORM_RANDOM,UNIFORM_RANDOM,1
556.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
348.61545,UNIFORM_RANDOM,UNIFORM_RANDOM,1
437.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
240.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
727.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
2608.5679,UNIFORM_RANDOM,UNIFORM_RANDOM,1
831.6955,UNIFORM_RANDOM,UNIFORM_RANDOM,1
603.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
16009.56,UNIFORM_RANDOM,UNIFORM_RANDOM,1
491.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
821.1806,UNIFORM_RANDOM,UNIFORM_RANDOM,1
157.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
655.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
7436.9595,UNIFORM_RANDOM,UNIFORM_RANDOM,1
1277.1018,UNIFORM_RANDOM,UNIFORM_RANDOM,1
344.0,UNIFORM_RANDOM,UNIFORM_RANDOM,1
33679.02,UNIFORM_RANDOM,UNIFORM_RANDOM,1
902.5723,UNIFORM_RANDOM,UNIFORM_RANDOM,1
