replicate_id,train_strategy,test_strategy,augmentation,in_domain,n_train_simulations,relative_MAE_I,R2_I,MAE_I,R2_S,R2_R,R2_overall,MAE_S,MAE_R,RMSE,MSE,mean_peak_I,n_test_samples,model_path,training_epoch
1,MCMC,LHS,0,1,2800,4.5025,0.670677,246.5243,0.969795,0.97607,0.994371,1671.993,1525.3905,3162.9845,10004471.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_1.pt,100
2,MCMC,LHS,0,1,2800,4.5586,0.67733,243.2005,0.968065,0.974374,0.994063,1742.472,1604.155,3248.3165,10551560.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_2.pt,100
3,MCMC,LHS,0,1,2800,4.5056,0.616895,260.1643,0.961215,0.969206,0.992834,1792.0593,1628.1648,3568.6772,12735457.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_3.pt,100
4,MCMC,LHS,0,1,2800,4.4776,0.652283,253.0718,0.961195,0.968512,0.992831,1840.7479,1691.0862,3569.5171,12741452.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_4.pt,100
5,MCMC,LHS,0,1,2800,4.533,0.652133,254.823,0.963415,0.971018,0.99327,1855.2301,1698.6467,3458.4963,11961197.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_5.pt,100
6,MCMC,LHS,0,1,2800,4.5478,0.64683,253.79,0.964862,0.971957,0.993484,1759.578,1604.223,3402.9077,11579781.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_6.pt,100
7,MCMC,LHS,0,1,2800,4.8382,0.641846,256.118,0.960532,0.968205,0.992721,1857.5989,1697.3951,3596.6722,12936051.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_7.pt,100
8,MCMC,LHS,0,1,2800,4.6662,0.650654,252.8253,0.962709,0.969725,0.993083,1864.2135,1708.5295,3506.1947,12293401.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_8.pt,100
9,MCMC,LHS,0,1,2800,4.4554,0.65524,249.7332,0.967096,0.974212,0.993917,1769.0378,1607.7679,3287.9758,10810785.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_9.pt,100
10,MCMC,LHS,0,1,2800,4.8642,0.609987,263.1813,0.949651,0.958361,0.990732,1980.4534,1813.4453,4058.371,16470375.0,4015.44,600,experiments\mcmc-sampling\out\results\testing\mcmc_no_augmentation\trained models\best_balanced_mlp_model_10.pt,100
