replicate_id,train_strategy,test_strategy,augmentation,in_domain,n_train_simulations,relative_MAE_I,R2_I,MAE_I,R2_S,R2_R,R2_overall,MAE_S,MAE_R,RMSE,MSE,peak_I,mean_peak_I,n_test_samples,model_path,training_epoch
1,MCMC,UNIFORM_RANDOM,1,1,8400,4.4105,0.701109,272.0543,0.971848,0.977191,0.99405,1934.1052,1776.1853,3218.3255,10357619.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_1.pt,65
2,MCMC,UNIFORM_RANDOM,1,1,8400,4.384,0.709181,265.822,0.975105,0.979935,0.994698,1852.7114,1705.3169,3038.1942,9230624.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_2.pt,77
3,MCMC,UNIFORM_RANDOM,1,1,8400,4.4055,0.682952,277.4594,0.972135,0.977342,0.994061,1886.3481,1735.2269,3215.3449,10338443.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_3.pt,74
4,MCMC,UNIFORM_RANDOM,1,1,8400,4.3669,0.718914,265.4965,0.970781,0.976195,0.993868,1904.7468,1751.9633,3267.2098,10674660.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_4.pt,72
5,MCMC,UNIFORM_RANDOM,1,1,8400,4.4928,0.689622,276.8904,0.970847,0.97671,0.99387,2010.4578,1852.7993,3266.5557,10670386.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_5.pt,86
6,MCMC,UNIFORM_RANDOM,1,1,8400,4.3556,0.70223,268.1421,0.969323,0.975137,0.99357,1967.8483,1808.9551,3345.6345,11193270.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_6.pt,69
7,MCMC,UNIFORM_RANDOM,1,1,8400,4.4092,0.724771,261.4278,0.975263,0.980572,0.99481,1781.323,1624.3397,3005.8485,9035125.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_7.pt,87
8,MCMC,UNIFORM_RANDOM,1,1,8400,4.3941,0.713701,265.6039,0.970898,0.975756,0.993826,2056.3679,1903.7672,3278.3863,10747817.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_8.pt,96
9,MCMC,UNIFORM_RANDOM,1,1,8400,4.375,0.702431,267.5857,0.972085,0.978144,0.994175,1857.4447,1692.8281,3184.3056,10139802.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_9.pt,98
10,MCMC,UNIFORM_RANDOM,1,1,8400,4.4598,0.664661,279.7856,0.960946,0.968256,0.99189,2113.5647,1935.7122,3757.3701,14117830.0,4476.45,4476.45,600,experiments\mcmc-sampling\out\trained-models\best_balanced_mlp_model_10.pt,77
