replicate_id,train_strategy,test_strategy,augmentation,in_domain,n_train_simulations,relative_MAE_I,R2_I,MAE_I,R2_S,R2_R,R2_overall,MAE_S,MAE_R,RMSE,MSE,mean_peak_I,n_test_samples,model_path,training_epoch
1,UNIFORM_RANDOM,MCMC,0,0,2800,6.8584,0.880235,57.3607,0.964955,0.964119,0.998746,1210.2374,1212.8182,1551.3335,2406635.75,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_1.pt,100
2,UNIFORM_RANDOM,MCMC,0,0,2800,7.0772,0.886285,56.9028,0.967941,0.967112,0.998852,1205.8951,1207.6915,1484.7008,2204336.5,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_2.pt,100
3,UNIFORM_RANDOM,MCMC,0,0,2800,7.7162,0.888054,57.1726,0.966844,0.966001,0.998813,1182.0035,1184.7385,1509.4535,2278450.0,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_3.pt,100
4,UNIFORM_RANDOM,MCMC,0,0,2800,7.3739,0.884061,58.8508,0.964613,0.963495,0.99873,1251.4047,1255.6577,1561.5688,2438497.0,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_4.pt,100
5,UNIFORM_RANDOM,MCMC,0,0,2800,8.9524,0.876052,59.3735,0.960555,0.959688,0.998591,1348.6554,1348.8445,1644.602,2704715.75,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_5.pt,100
6,UNIFORM_RANDOM,MCMC,0,0,2800,7.7315,0.87647,60.0865,0.966006,0.964925,0.998779,1254.8439,1258.2076,1531.1908,2344545.25,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_6.pt,100
7,UNIFORM_RANDOM,MCMC,0,0,2800,8.022,0.881338,59.2624,0.963826,0.962931,0.998706,1267.6818,1269.1661,1576.2277,2484493.75,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_7.pt,100
8,UNIFORM_RANDOM,MCMC,0,0,2800,8.3467,0.878339,59.3859,0.962923,0.962181,0.998676,1247.5753,1247.3866,1593.9501,2540677.0,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_8.pt,100
9,UNIFORM_RANDOM,MCMC,0,0,2800,7.4252,0.894549,56.2593,0.965943,0.964717,0.998775,1226.8318,1231.6206,1533.2659,2350904.25,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_9.pt,100
10,UNIFORM_RANDOM,MCMC,0,0,2800,9.0106,0.875222,60.8011,0.965132,0.964159,0.99875,1266.3771,1268.5603,1549.1958,2400007.5,1230.08,600,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models\best_balanced_mlp_model_10.pt,100
