sim_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
0,0.011637638237323856,0.2898451330160694,0.0076363647873646376,2.3288,3012.503913302603,14.056224899598394,21739.0,0.21739,0
1,0.011352232948820661,0.6877335592326795,0.009342996237476696,0.9574,934.0,0.0,2304.0,0.02304,1
2,0.019643269779534893,0.12678753138435916,0.007161462584408737,8.986,30945.557217832138,13.052208835341366,84387.0,0.84387,0
3,0.00743478707359592,0.8661905186671265,0.009153308923242062,0.4978,915.0,0.0,1113.0,0.01113,0
4,0.0035504517862340913,0.16058126617957105,0.0014741464075723777,1.2824,244.21193486136733,32.1285140562249,2352.0,0.02352,0
5,0.014343346910628666,0.8548426914013462,0.0011326239704047107,0.9732,113.0,0.0,863.0,0.00863,1
6,0.013566805412228053,0.770408358213314,0.0008460301024398929,1.0214,85.0,0.0,174.0,0.00174,1
7,0.009339251747218804,0.6982657419559313,0.008103929959549403,0.7757,810.0,0.0,1652.0,0.01652,0
8,0.01633723536206661,0.08028148095567558,0.008418957718359574,11.803,39202.83378369529,16.06425702811245,91621.0,0.91621,0
9,0.005571497865256641,0.5253483190441078,0.005024087460803869,0.6151,502.0,0.0,674.0,0.00674,0
10,0.014161630941172183,0.381546107460622,0.001342263818945885,2.1528,2300.390618664801,15.060240963855422,16452.0,0.16452,0
11,0.018961269446550872,0.900920621787373,0.00773426211973045,1.2207,773.0,0.0,3926.0,0.03926,0
12,0.01121038279806265,0.38342620281334827,0.0026399963381648225,1.6958,951.599013103768,14.056224899598394,8493.0,0.08493,0
13,0.012331767878444937,0.513699696585392,0.0007231408745758525,1.3923,486.2699231849573,32.1285140562249,4955.0,0.04955,0
14,0.019426732735133786,0.8828849342306111,0.0015479662782397422,1.2762,391.7945529217761,10.040160642570282,3010.0,0.0301,0
15,0.01925169906132548,0.7269407027848763,0.0018991629209670908,1.536,526.0705109422966,6.024096385542169,6650.0,0.0665,0
16,0.004916120103304592,0.5163013619527412,0.008017198317640284,0.5523,802.0,0.0,1061.0,0.01061,0
17,0.006447315717716928,0.5967953942868303,0.0006683008315969994,0.6266,67.0,0.0,110.0,0.0011,0
18,0.0158298166415285,0.8167237474084633,0.0009981968455690107,1.1242,100.0,0.0,910.0,0.0091,1
19,0.007068646024890817,0.12002642306090787,0.002696698731289636,3.4158,7552.461327149191,32.1285140562249,39295.0,0.39295,0
20,0.006202494017363447,0.8636681629774987,0.0024587484533591425,0.4165,246.0,0.0,296.0,0.00296,0
21,0.0029512869925849197,0.04053674117294326,0.004321462063764342,4.2227,11681.3464326059,79.31726907630522,50746.0,0.50746,0
22,0.007096426903325729,0.4679640064100481,0.009507393431157855,0.8795,951.0,0.0,2508.0,0.02508,1
23,0.013395016305972196,0.4618813799306626,0.008425904142225512,1.6821,1361.3494866434228,8.032128514056225,9973.0,0.09973,0
24,0.010390285429875983,0.8268443871715407,0.0032015059716603267,0.7288,320.0,0.0,550.0,0.0055,0
25,0.002678499871500195,0.6276955959875363,0.0010297693005195288,0.2475,103.0,0.0,112.0,0.00112,0
26,0.005978121004884124,0.23216463226095152,0.008479721156403382,1.4935,848.0,0.0,6853.0,0.06853,0
27,0.0082261137232765,0.4604985534099877,0.004720503652942611,1.0361,472.0,0.0,1834.0,0.01834,1
28,0.010398178371905176,0.6678087329879326,0.003603004139399225,0.9031,360.0,0.0,902.0,0.00902,1
29,0.011754640588044011,0.3888356365219081,0.007352019906571105,1.7534,1441.1908393449246,9.036144578313253,11099.0,0.11099,0
30,0.005179108610481008,0.6272226875283214,0.00012539346849053894,0.4789,13.0,0.0,14.0,0.00014,0
31,0.007651932006262586,0.4873929237662178,0.008096207461714428,0.9106,810.0,0.0,2054.0,0.02054,1
32,0.016878120782515476,0.8778400550200806,0.00383231591324453,1.1152,383.0,0.0,2873.0,0.02873,1
33,0.014602620365837746,0.7146000888648514,0.0017419838938146986,1.1852,174.0,0.0,414.0,0.00414,1
34,0.0026801625486233623,0.43147486984736194,0.0024694289608438286,0.3603,247.0,0.0,278.0,0.00278,0
35,0.005172709861897507,0.9124774762287954,0.003325204758271299,0.3288,333.0,0.0,435.0,0.00435,0
36,0.016467091445687622,0.3042709257193519,0.009277278841512415,3.139,6275.455362987341,11.04417670682731,35417.0,0.35417,0
37,0.0014580877848474067,0.7596996167434923,0.004996616276324613,0.1113,500.0,0.0,520.0,0.0052,0
38,0.005376851606629742,0.5077234464236766,0.003951738090684698,0.6142,395.0,0.0,694.0,0.00694,0
39,0.006738336600519857,0.8759840118653986,0.002637084754172535,0.4462,264.0,0.0,308.0,0.00308,0
40,0.008949180886408026,0.213447494963312,0.003823242039205218,2.4318,3114.3727787704706,23.092369477911646,22264.0,0.22264,0
41,0.006938265959298987,0.9601537141902214,0.0022613797396259052,0.4191,226.0,0.0,273.0,0.00273,0
42,0.01696807258093143,0.3000352372932399,0.0024567230476223337,3.2801,7150.495251054337,14.056224899598394,37964.0,0.37964,0
43,0.0074565125930954245,0.5498739818791674,0.007828410978402034,0.7865,783.0,0.0,1571.0,0.01571,0
44,0.0071219273253182004,0.7394526726764247,0.002362490191549112,0.5586,236.0,0.0,314.0,0.00314,0
45,0.0070122668357646585,0.40061238964250157,0.003150888438139333,1.0152,315.0,0.0,1270.0,0.0127,1
46,0.0014542452101543061,0.10688192728529088,0.0021366058592192675,0.7892,214.0,0.0,881.0,0.00881,0
47,0.018492181397167524,0.9312637652688005,0.0018021142327682494,1.1517,180.0,0.0,345.0,0.00345,1
48,0.019766061394947174,0.6937178338746879,0.008603612088759047,1.6526,1033.8037506241394,7.028112449799197,9155.0,0.09155,0
49,0.015152683504928889,0.05171994079858806,0.0013845182626089378,16.9926,48983.63632097227,21.084337349397593,96562.0,0.96562,0
50,0.01772754632095153,0.7429771544514164,0.008720182089717634,1.3839,872.0,0.0,6243.0,0.06243,0
51,0.006193003065689642,0.14080462715602335,0.005877097429537313,2.551,3734.916549338776,28.11244979919679,24111.0,0.24111,0
52,0.004284169727318076,0.47866148687520316,0.006173175129300406,0.5191,617.0,0.0,816.0,0.00816,0
53,0.019069883135915133,0.463708665278151,0.004144056134625246,2.3852,2572.086655862462,13.052208835341366,20685.0,0.20685,0
54,0.016342118475832255,0.6178755942128089,0.005492384723850082,1.534,720.8607503756425,8.032128514056225,6333.0,0.06333,0
55,0.012367862613738213,0.7615040590840392,0.007103071170449914,0.942,710.0,0.0,1836.0,0.01836,1
56,0.011021311132944855,0.33104774226566525,0.004051902224673457,1.9309,1744.5540971895298,18.072289156626507,13302.0,0.13302,0
57,0.01724798311150842,0.6468449722984566,0.0018872016862841394,1.5466,855.5973529481381,9.036144578313253,6584.0,0.06584,0
58,0.013127212823971234,0.5000079897161095,0.0065986046878592835,1.5227,707.0173020691756,11.04417670682731,6260.0,0.0626,0
59,0.016014239307922062,0.5004554557552918,0.00029172638176846484,1.856,1017.4985436986212,21.084337349397593,10672.0,0.10672,0
60,0.00817657834062059,0.3318517207870265,0.009178558505664234,1.4291,918.0,0.0,6047.0,0.06047,0
61,0.0006809350603907396,0.8230552840743315,0.006153365672663005,0.048,615.0,0.0,627.0,0.00627,0
62,0.016806492540403888,0.9105681793286577,0.004000948196176327,1.0705,400.0,0.0,2008.0,0.02008,1
63,0.018876871310758887,0.40710464150945147,0.001111383922439586,2.6894,4300.012093328026,13.052208835341366,26564.0,0.26564,0
64,0.01734089024933364,0.66922130633468,0.00287977809171917,1.5029,547.6143500918597,16.06425702811245,6223.0,0.06223,0
65,0.014982270241557294,0.36283658790371087,0.008541676220457694,2.3949,3238.2822349118455,12.048192771084338,21676.0,0.21676,0
66,0.002876584749211499,0.19552705117768152,0.007121517877422259,0.8533,712.0,0.0,1424.0,0.01424,1
67,0.0030053976066616783,0.32026790538899985,0.0003133669309532815,0.5443,31.0,0.0,36.0,0.00036,0
68,0.010481708663798642,0.39625329038520896,0.009011789111066057,1.5342,901.0,0.0,7193.0,0.07193,0
69,0.010980988794116952,0.09042048073600087,0.008923698545936418,7.0437,24037.11332199638,22.08835341365462,76069.0,0.76069,0
70,0.004639878750211769,0.12788740510900237,0.007954734869261997,2.1043,2302.7450223128963,31.12449799196787,15897.0,0.15897,0
71,0.01671388555745702,0.6730299546906218,0.004255970192415985,1.4404,462.50712835144145,11.04417670682731,4838.0,0.04838,0
72,0.017065703265022884,0.06436232468271771,0.002702579158643038,15.3787,45731.79561096038,18.072289156626507,95378.0,0.95378,0
73,0.007245425581418672,0.582816126532466,0.005854801140523886,0.721,585.0,0.0,960.0,0.0096,0
74,0.01490582162093661,0.08459487937803083,0.0030950407341170274,10.2197,34324.31148676036,19.076305220883533,87998.0,0.87998,0
75,0.008549832763053454,0.9115859871491987,0.006979866406365134,0.544,698.0,0.0,960.0,0.0096,0
76,0.019040854941075724,0.18557874870523003,0.001584584997692253,5.9509,19245.231068718058,14.056224899598394,68650.0,0.6865,0
77,0.016139120519214217,0.9801009511687541,0.0025793578756523132,0.9551,258.0,0.0,1444.0,0.01444,1
78,0.001111268770841968,0.2308812902253777,0.0056461487372807635,0.2792,565.0,0.0,611.0,0.00611,0
79,0.013531425276951888,0.7053937558617445,0.005322129080119579,1.1126,532.0,0.0,2625.0,0.02625,1
