sim_index,tau,gamma,rho,peak_I,peak_time,final_R
1144,0.01552649944994316,0.5626216748034301,0.005729049266178467,772.5843010138998,6,7539.0
1690,0.011128512024729696,0.725587313805648,0.002897729088240278,290.0,0,834.0
1586,0.013595889094679754,0.5286104733115717,0.009131238251574343,913.0,0,6831.0
2056,0.01987632576515886,0.445722396697525,0.0056903059330738045,4114.054326649216,9,25210.0
2708,0.0026555898342924883,0.9498122020967621,0.002043351095426409,204.0,0,210.0
709,0.009626572678581963,0.8943372899001979,0.002738097285453619,274.0,0,412.0
1620,0.019171988350121533,0.5485532640852908,0.00293111070223053,1719.389360351656,11,13640.0
2976,0.003574865592953898,0.464588291514174,0.009641984543127287,964.0,0,1245.0
2536,0.007554522551154152,0.36027881016394914,0.004998322314286848,500.4646181089682,9,3803.0
1455,0.008663097116286734,0.7407401481434099,0.0014472291935515233,145.0,0,193.0
3843,0.01549750422706283,0.6507938488585645,0.008715952282651736,872.0,0,4679.0
3491,0.0072969942813411025,0.5966967541958685,0.009658158121151892,966.0,0,1429.0
3912,0.017387728122792778,0.16651472337742612,0.005168945024935961,19783.8758141951,14,69814.0
3228,0.008232780490211799,0.958244326173478,0.0039256449116085446,393.0,0,457.0
3578,0.00314882443429117,0.10504220522049101,0.003331118286206096,869.721385321881,55,8826.0
3226,0.015084042462905855,0.08532813028203662,0.00043353184800333223,34286.17015425793,24,87886.0
3199,0.019164329595160637,0.2668347035134059,0.0007894990478944134,10863.375860066733,13,49618.0
3343,0.0008793175031110486,0.1662758078699774,0.000161348134468407,16.0,0,18.0
3579,0.0004693268482059026,0.5821280020387939,0.0009370319493362118,94.0,0,94.0
2193,0.0196857778628522,0.6801581343030643,0.0018358952398075076,854.1071317443073,8,8110.0
3332,0.002174466447558127,0.8069678624998624,0.0006867082354540275,69.0,0,71.0
3615,0.01944603678289891,0.541940516646419,0.00874976004246877,2094.6602504627376,9,16429.0
1188,0.003380233715737596,0.16877024428696313,0.002616841774197753,262.0,0,1629.0
2850,0.014243338011830255,0.5202998425130918,0.001941922878717243,473.0243430458255,23,6128.0
454,0.0007266308550090814,0.0880780508233474,0.008604526774932982,860.0,0,1127.0
1012,0.0033338361720682648,0.09144420242529615,0.006128528957498431,2330.4340213696482,54,16961.0
3580,0.011799419963952345,0.49707610231168586,0.009198895886195385,920.0,0,6655.0
3744,0.011519136139189215,0.04957959100894145,0.0007308212391465047,42638.7098156177,28,93674.0
3417,0.004939573216943296,0.8461260819590283,0.007569152283218294,757.0,0,857.0
3350,0.0079234087338682,0.7076205234378259,0.0007577057864326345,76.0,0,96.0
2495,0.015395877382831252,0.6418602957367574,0.0003737663521344254,247.13864034049388,77,4417.0
3562,0.017846495616308692,0.8440636853866241,0.0011318761007722195,113.0,0,269.0
2298,0.0019983104793010946,0.28909239786792174,0.0085159312679107,852.0,0,1078.0
2003,0.011478555468005596,0.05419477998627101,0.008518858551124081,39928.1117970186,24,92050.0
3963,0.017170433791159356,0.6063943272684176,0.008169369244231691,1203.4852975143203,9,9714.0
3098,0.011720409038525994,0.48486638118162173,0.0006619626786445133,680.101342650028,16,5531.0
2765,0.00131543137465116,0.05959138193745736,0.008390611668443527,839.0,0,4464.0
175,0.011911431338743428,0.9219349809002353,0.0037721691330527816,377.0,0,811.0
2185,0.0035437558753936833,0.7589287831616368,0.0039853378107970894,399.0,0,460.0
522,0.004766009014759161,0.21766483226387584,0.0052224219085022046,522.0,0,3158.0
1738,0.0037008811386645976,0.9534689408623843,0.0010577255669138978,106.0,0,110.0
1124,0.0013846987116981993,0.22848645548706722,0.006149684611888313,615.0,0,763.0
512,0.014114986466823555,0.993224428151337,0.007551016811577233,755.0,0,1332.0
1804,0.011214152844256524,0.06382830096884641,0.0008407143458381979,34300.32226847956,28,87775.0
2989,0.005589047404922569,0.3193385139225483,0.007825649845655624,783.0,0,2010.0
3708,0.01278255081263107,0.25622215919434244,0.002928802831028496,5105.570966755975,16,31273.0
3308,0.0018878982217234801,0.9384297339942145,0.007672456914318371,767.0,0,792.0
3499,0.008059822140087516,0.31542590356003564,0.009461360136643122,946.0,0,6533.0
3342,0.004033276852820159,0.9699155676407342,0.008023895261658278,802.0,0,883.0
377,0.009268271922817596,0.49701779608732966,0.003220882313739728,322.0,0,1592.0
3120,0.015188804796848483,0.37427183448800616,0.0071815302473816145,2724.2582149260656,12,20280.0
2389,0.005437082147121705,0.15432998362921352,0.007883338165662305,2265.127526787351,28,16084.0
122,0.01621166077513156,0.4257147784137728,0.004934881698065687,2526.2733195080796,12,18497.0
1118,0.011111590986226817,0.705148635489264,0.007482963249899695,748.0,0,1962.0
3387,0.007709564702019949,0.930194881211717,0.0076746752003064855,767.0,0,966.0
2472,0.004546012745045028,0.8411337690672531,0.009384809299272429,938.0,0,1090.0
2047,0.011743792760965006,0.223620581190072,0.008548041999222067,6319.687612398161,15,34593.0
192,0.009085604083337664,0.5684009936037183,0.0012460518824036729,125.0,0,328.0
2927,0.012827417264047446,0.3736805943775594,0.0018047978271607864,1859.7570060265625,17,15130.0
3099,0.009168222174166575,0.0376857919014234,0.006415768659990488,43634.91757173599,31,94296.0
2411,0.0115504086080068,0.14878718325623447,0.003044903607007877,12602.238187343197,21,54490.0
1953,0.019054175835979657,0.11469003658637197,0.006005373775231673,33067.567136458405,14,86291.0
1875,0.010638780579119492,0.7142241467994258,0.0056009126228941265,560.0,0,1069.0
1440,0.01732738348563629,0.22297925544121844,0.006346934066513163,12600.982255225286,12,54367.0
1152,0.0018379852414943374,0.7460469751554253,0.001464831977242232,146.0,0,149.0
31,0.007651932006262586,0.4873929237662178,0.008096207461714428,810.0,0,2054.0
865,0.013660657420421888,0.18493475626556335,0.00013721557406238635,11563.102537590958,23,51799.0
1276,0.0032922121293267248,0.9269956771019476,0.0023810891591716185,238.0,0,255.0
3296,0.00256990195640003,0.5039051725658886,0.008793408612563784,879.0,0,1004.0
2092,0.018409453628596275,0.6516079413834344,0.006355342672192177,1242.723084386656,7,9695.0
1305,0.0018031144740514723,0.6338165565191518,0.005229305692324622,523.0,0,550.0
3765,0.011178679520770132,0.12331769864348527,0.0032879700647787074,15994.29438215829,22,61676.0
1701,0.010556998630555084,0.6104086327477525,0.0034946275410929007,349.0,0,685.0
2579,0.018586393950305712,0.6817876737627481,0.0022798228582134967,490.4173312500231,16,7100.0
3679,0.0010749060454153436,0.3184590907094571,0.004642067586841088,464.0,0,503.0
743,0.016407375462654316,0.41361870646689913,0.0066740269800724845,3001.6672340499845,11,21128.0
2292,0.009801948692886399,0.5940121486076468,0.008399354521751565,840.0,0,2271.0
409,0.008912355899201458,0.15850306609764378,0.0060533929514119044,6902.665346904179,22,36707.0
1873,0.001353851128545169,0.107360877739323,0.009155232864237885,916.0,0,1683.0
3191,0.013553187324165819,0.36957851677700115,0.007928456160120353,2328.329018239918,12,17487.0
3115,0.015159107520163225,0.888163638040908,0.005914389730216236,591.0,0,1414.0
1055,0.0009166571170666667,0.6999094913381764,0.0013847147285263684,138.0,0,140.0
1463,0.019639928042348334,0.6393217290672218,0.0038497210177004084,1161.8457953130094,9,10804.0
2552,0.010062436976245696,0.030618151253569568,0.0048047042721731945,51660.71473162044,30,97276.0
638,0.005410076173674839,0.6746441941705972,0.005640186205824541,564.0,0,743.0
1441,0.016181609529706015,0.04966310048684894,0.005134323183091813,51465.645688860764,19,97362.0
186,0.017579173279130292,0.18313679871787486,0.009895363796759368,18161.9550179693,13,66238.0
2006,0.014146499068735077,0.13604828409128872,0.005473630562991564,19626.186641058153,17,69603.0
1069,0.015991394144335508,0.43435860637295187,0.004177247323272677,2177.8342971238303,10,16783.0
1449,0.014444804051719681,0.5240667793622044,0.0029580980870150373,623.8708207266316,18,7526.0
1473,0.01068365598220391,0.932280976802087,0.0054968772949063344,550.0,0,867.0
174,0.007063302007090006,0.4431340308424975,0.0030003893980523333,300.0,0,818.0
2597,0.0004506809471751987,0.3929266133250038,0.0005339349891473325,53.0,0,54.0
2884,0.005662375512989168,0.17934609545784436,0.009917179967022072,1512.0829555554815,24,11947.0
3510,0.01351564315212347,0.7586054844335565,0.00859398441513245,859.0,0,3268.0
1677,0.01713983769761096,0.10405951530284664,0.0013555244623708748,32141.899024519713,17,85624.0
2901,0.008742859772740367,0.8914284724186613,0.0026698720341168576,267.0,0,388.0
3359,0.01833669398870796,0.6329073171906261,0.009631964028053715,1042.4560307854001,5,9177.0
2759,0.009218270512838828,0.39876103703849075,0.00032216030132524627,32.0,0,42.0
625,0.010817532452407371,0.41993172429249515,0.006361837709504728,802.9271930672325,9,7234.0
3759,0.0187290564391799,0.6542350517482524,0.0019272174352960492,919.9302987877708,10,8667.0
680,0.00905777158037184,0.6196757309870938,0.009955330700173839,996.0,0,1762.0
2045,0.019268333492189687,0.49836384040519466,0.0005118092636075089,2389.9167215804205,11,17334.0
470,0.018578682507000614,0.9509104872110653,0.005726222686359449,573.0,0,1821.0
554,0.01629782500057753,0.7031269599684579,0.005128080915181792,513.0,0,3613.0
1088,0.0024101142265445575,0.07998340746106458,0.0002890381524916698,636.8862997511865,112,6693.0
1132,0.017546054966876893,0.3693094824893738,0.00603449810741166,4629.422332835385,11,27882.0
