sim_index,tau,gamma,rho,peak_I,peak_time,final_R
1956,0.0038043224984812525,0.05242006356174183,0.006219573534014406,11600.558688502291,59,30864.0
1957,0.0038043224984812525,0.05242006356174183,0.006219573534014406,11681.934772648083,59,30897.0
1866,0.0023755430784420644,0.27870009093128356,0.0022462243652084284,225.0,0,271.0
1867,0.0023755430784420644,0.27870009093128356,0.0022462243652084284,225.0,0,313.0
1718,0.021867461360866317,0.2550238170625763,0.007277477672031431,15423.230396739931,10,60737.0
1719,0.021867461360866317,0.2550238170625763,0.007277477672031431,14770.407771698388,10,59594.0
1832,0.007710906334429236,0.16597306940392484,0.00514970046120159,4360.345884071708,25,26471.0
1833,0.007710906334429236,0.16597306940392484,0.00514970046120159,4344.880264477272,26,26491.0
254,0.01670557866526068,0.1160455474034385,0.008073881291345977,29035.843053395638,15,82100.0
255,0.01670557866526068,0.1160455474034385,0.008073881291345977,28639.18278659171,15,81907.0
1216,0.020602960090664837,0.3734713828313128,0.009031828986922123,6927.006900411567,9,36967.0
1217,0.020602960090664837,0.3734713828313128,0.009031828986922123,6475.523463559825,9,35938.0
1712,0.006113029784894744,0.1965610997755714,0.0072318509939296,1367.0699887665508,16,11072.0
1713,0.006113029784894744,0.1965610997755714,0.0072318509939296,1579.7102577755302,25,11800.0
520,0.012783451109215927,0.4919967939569018,0.0032643847830823576,420.3824480378361,9,4958.0
521,0.012783451109215927,0.4919967939569018,0.0032643847830823576,452.45595110688924,23,6364.0
294,0.004437709179049737,0.09825786140098705,0.0029436801282265715,3705.8368718253,46,19313.0
295,0.004437709179049737,0.09825786140098705,0.0029436801282265715,4292.051811596269,43,21548.0
1620,0.003490705001971366,0.03292811987925506,0.0013096727405510582,20110.0,79,20595.0
1621,0.003490705001971366,0.03292811987925506,0.0013096727405510582,20052.48295451994,72,26291.0
1270,0.010406319789852389,0.3801461607718316,0.0026739945763498345,567.080862310257,22,6599.0
1271,0.010406319789852389,0.3801461607718316,0.0026739945763498345,623.5540037187142,14,6364.0
1944,0.014511919301460051,0.3305762485353516,0.008005583543083991,3675.122978263481,11,24494.0
1945,0.014511919301460051,0.3305762485353516,0.008005583543083991,4028.3005917187074,10,25079.0
1186,0.01986728093424131,0.46116171612961027,0.00380199652446954,3386.4592831879772,11,23035.0
1187,0.01986728093424131,0.46116171612961027,0.00380199652446954,3408.987705222704,10,23234.0
1988,0.022431948696381914,0.053511861859059026,0.0057935544173994625,57990.28032876128,14,96271.0
1989,0.022431948696381914,0.053511861859059026,0.0057935544173994625,58234.465384541996,14,96307.0
570,0.008890275888161438,0.21859249913763815,0.0013049191693980493,2832.841193578408,27,20132.0
571,0.008890275888161438,0.21859249913763815,0.0013049191693980493,3000.153577946986,25,21008.0
1108,0.012119639468321071,0.1690155311451504,0.003848930600661058,11263.499077207765,18,49769.0
1109,0.012119639468321071,0.1690155311451504,0.003848930600661058,10812.247425234682,21,49858.0
934,0.02195808592976553,0.030154778221100118,0.005225339872196289,70377.28708889161,16,87715.0
935,0.02195808592976553,0.030154778221100118,0.005225339872196289,70460.76796081603,16,87688.0
552,0.018217713874609746,0.15875954602268516,0.0010636284124443537,22522.11411544309,15,73823.0
553,0.018217713874609746,0.15875954602268516,0.0010636284124443537,21741.313516913076,15,72807.0
110,0.01829257816655789,0.37727131985442725,0.00502322087799345,4493.9637772879205,12,27623.0
111,0.01829257816655789,0.37727131985442725,0.00502322087799345,4893.1471771910565,11,30031.0
122,0.009188624195278852,0.354209869848636,0.007969076228740213,947.6530995250274,11,7640.0
123,0.009188624195278852,0.354209869848636,0.007969076228740213,797.0,0,7271.0
1678,0.015914999865474865,0.027459692708802316,0.007411253342872849,65287.09862094215,20,83332.0
1679,0.015914999865474865,0.027459692708802316,0.007411253342872849,65457.834673953825,21,83161.0
850,0.010365160551389163,0.49263981220325653,0.0016376461387480083,164.0,0,326.0
851,0.010365160551389163,0.49263981220325653,0.0016376461387480083,164.0,0,2336.0
164,0.017543996977099827,0.1400717275128644,0.00995265479609294,24477.73864357067,14,76764.0
165,0.017543996977099827,0.1400717275128644,0.00995265479609294,25013.549134011457,14,77303.0
1240,0.003164923465794992,0.19492298643449446,0.002589383700571721,259.0,0,538.0
1241,0.003164923465794992,0.19492298643449446,0.002589383700571721,259.0,0,620.0
1574,0.005818309621758737,0.11212352914904569,0.0016910126927310054,5701.028012225083,38,28724.0
1575,0.005818309621758737,0.11212352914904569,0.0016910126927310054,5433.556541549773,41,27860.0
4,0.019745035340594328,0.2746026353520273,0.005240045761486311,10984.991508728921,10,50133.0
5,0.019745035340594328,0.2746026353520273,0.005240045761486311,11173.263494698836,10,50767.0
1506,0.020639131114206885,0.3175050523963088,0.0017441034799656955,9162.816321682476,12,45117.0
1507,0.020639131114206885,0.3175050523963088,0.0017441034799656955,9261.11383115372,11,45500.0
14,0.006742002027558839,0.29946015900373746,0.005009301729256253,501.0,0,4014.0
15,0.006742002027558839,0.29946015900373746,0.005009301729256253,501.0,0,1331.0
1806,0.012205441233078193,0.08048952647462612,0.0041869058779624505,30051.506900565437,22,81763.0
1807,0.012205441233078193,0.08048952647462612,0.0041869058779624505,29800.79820449832,22,81735.0
1252,0.004079973687764294,0.25674165050917247,0.0011167594410580726,112.0,0,243.0
1253,0.004079973687764294,0.25674165050917247,0.0011167594410580726,131.96602823455547,18,779.0
102,0.00580293357710673,0.1514163710833738,0.004358627016499318,2889.867136094958,33,18900.0
103,0.00580293357710673,0.1514163710833738,0.004358627016499318,2427.1662773946105,31,16665.0
1114,0.01985391551816539,0.25568090433939783,0.007135608943921033,12987.76250892997,11,54967.0
1115,0.01985391551816539,0.25568090433939783,0.007135608943921033,13114.686248133843,11,55872.0
620,0.00790942448517082,0.1982586495926606,0.0019123821315640008,2717.5008139111847,31,19868.0
621,0.00790942448517082,0.1982586495926606,0.0019123821315640008,2836.792317032383,28,20217.0
200,0.021281766321464564,0.1521765534044242,0.001456735740104222,27606.90888923123,14,81035.0
201,0.021281766321464564,0.1521765534044242,0.001456735740104222,27706.452574336403,13,80824.0
1696,0.013018837599859816,0.3620498718211898,0.007291297023286802,2376.3817542621705,12,16494.0
1697,0.013018837599859816,0.3620498718211898,0.007291297023286802,2234.0371765966197,10,15971.0
1842,0.0035988223507204464,0.3411744886675112,0.001709365241250344,171.0,0,288.0
1843,0.0035988223507204464,0.3411744886675112,0.001709365241250344,171.0,0,359.0
90,0.019485575256948117,0.015046271854951604,0.007252139775052121,79853.78366276182,19,65031.0
91,0.019485575256948117,0.015046271854951604,0.007252139775052121,79808.14074629366,20,64720.0
1952,0.023726738894661963,0.027913730269719127,0.0067120245329753215,73006.84648172223,15,86234.0
1953,0.023726738894661963,0.027913730269719127,0.0067120245329753215,72975.95482000809,15,86009.0
272,0.022949109781749633,0.17249118068312672,0.009573283479596802,26020.18416373246,10,79056.0
273,0.022949109781749633,0.17249118068312672,0.009573283479596802,26516.299963764282,11,79670.0
256,0.016755698337724608,0.2088342182565421,0.004124334926422736,13037.852085779698,14,56176.0
257,0.016755698337724608,0.2088342182565421,0.004124334926422736,13276.2771726248,13,55946.0
1210,0.002152228546650237,0.31943179562134316,0.005811810852079618,581.0,0,766.0
1211,0.002152228546650237,0.31943179562134316,0.005811810852079618,581.0,0,666.0
1890,0.022126714961835083,0.35469816681510913,0.0016291233572438635,8497.767775542019,12,42578.0
1891,0.022126714961835083,0.35469816681510913,0.0016291233572438635,8108.0280685360085,10,41456.0
1546,0.012094938197139287,0.06412740502693846,0.003227669841984323,36248.75983824962,23,85931.0
1547,0.012094938197139287,0.06412740502693846,0.003227669841984323,36405.56734665921,23,86088.0
1882,0.007719236609715517,0.06952859367612914,0.0033081189064653135,21312.918416783312,33,65244.0
1883,0.007719236609715517,0.06952859367612914,0.0033081189064653135,21244.013971595818,34,65179.0
1226,0.014296325258487839,0.113603175628862,0.0073667505685724,24765.214835060142,17,76710.0
1227,0.014296325258487839,0.113603175628862,0.0073667505685724,24192.612579532,17,76297.0
196,0.018814188882561866,0.26073841836987655,0.0024565871602483286,10876.283108535778,14,50023.0
197,0.018814188882561866,0.26073841836987655,0.0024565871602483286,11280.523803624877,13,51031.0
1516,0.010176624211843415,0.39387598390179857,0.0038384115384838134,693.4705164161408,17,7113.0
1517,0.010176624211843415,0.39387598390179857,0.0038384115384838134,821.2872685061783,17,6999.0
1190,0.017107723518994034,0.3705002896647005,0.009211204608434553,4487.6773079305885,9,27661.0
1191,0.017107723518994034,0.3705002896647005,0.009211204608434553,4046.40396817436,9,26405.0
940,0.01068735473470548,0.449318819519266,0.008687991586761628,869.0,0,5746.0
941,0.01068735473470548,0.449318819519266,0.008687991586761628,869.0,0,6203.0
50,0.021531187204112606,0.402844812510898,0.00562650352121358,6467.77356244208,9,35797.0
51,0.021531187204112606,0.402844812510898,0.00562650352121358,6263.009713999596,9,34883.0
1028,0.01736558609890122,0.33940226306047805,0.006921649490796815,5584.274548801519,11,31802.0
1029,0.01736558609890122,0.33940226306047805,0.006921649490796815,5525.1050373532335,11,32578.0
478,0.015017107148916907,0.23221387179724953,0.0018061724802291169,9009.676023378048,19,44083.0
479,0.015017107148916907,0.23221387179724953,0.0018061724802291169,8813.226925476314,17,43940.0
1960,0.0020687636956803436,0.29008506793718053,0.008108063729298547,811.0,0,1091.0
1961,0.0020687636956803436,0.29008506793718053,0.008108063729298547,811.0,0,964.0
1246,0.0009396779812618286,0.48912331737633585,0.0031132244248918933,311.0,0,325.0
1247,0.0009396779812618286,0.48912331737633585,0.0031132244248918933,311.0,0,328.0
504,0.005192257680210765,0.36252710203230953,0.0029102334190411667,291.0,0,543.0
505,0.005192257680210765,0.36252710203230953,0.0029102334190411667,291.0,0,562.0
1324,0.02010456217597419,0.43635724170542867,0.008497017782837023,4131.150838933644,9,26683.0
1325,0.02010456217597419,0.43635724170542867,0.008497017782837023,4565.646319515156,8,27631.0
342,0.012077659949982661,0.19375343912522072,0.0015128095862525785,8054.96708530257,20,42163.0
343,0.012077659949982661,0.19375343912522072,0.0015128095862525785,8287.476199514602,22,42198.0
816,0.003918604481753412,0.40918626827380783,0.009131886856684698,913.0,0,1214.0
817,0.003918604481753412,0.40918626827380783,0.009131886856684698,913.0,0,1388.0
1986,0.021082601544127284,0.021620357628389576,0.008317516698969074,75261.29451691205,17,78067.0
1987,0.021082601544127284,0.021620357628389576,0.008317516698969074,75584.89964292932,17,77970.0
1184,0.020829972053856942,0.0442776588882678,0.009377234070243573,61052.162989659584,15,94236.0
1185,0.020829972053856942,0.0442776588882678,0.009377234070243573,60726.24739944267,15,94361.0
1402,0.015069590728692215,0.038673478089020046,0.0051959674981931925,56328.965396106425,20,89812.0
1403,0.015069590728692215,0.038673478089020046,0.0051959674981931925,56328.62420359827,21,89425.0
854,0.014170529439946185,0.14603308691408748,0.008056410610395429,18545.602105240356,16,66403.0
855,0.014170529439946185,0.14603308691408748,0.008056410610395429,18276.41315987022,16,66357.0
914,0.007123962627780336,0.3189162046277618,0.002138403043089648,223.21062653107066,17,2522.0
915,0.007123962627780336,0.3189162046277618,0.002138403043089648,358.6848142163424,17,3646.0
908,0.01773183766504384,0.24593358723068137,0.009458860063791312,11353.01054246554,11,50801.0
909,0.01773183766504384,0.24593358723068137,0.009458860063791312,11699.52021971084,11,51307.0
302,0.013460308941347018,0.15206388579979976,0.009165341879513348,15250.699282854772,16,60920.0
303,0.013460308941347018,0.15206388579979976,0.009165341879513348,15740.592981384063,16,61427.0
1512,0.008238500919229804,0.14826330002216379,0.0013565365871643172,6214.8925146030015,27,34197.0
1513,0.008238500919229804,0.14826330002216379,0.0013565365871643172,6354.880600772206,34,34966.0
500,0.018723684651378882,0.4022575426017551,0.002307878436300864,4725.496781948601,12,28085.0
501,0.018723684651378882,0.4022575426017551,0.002307878436300864,4156.562586172163,13,26412.0
1808,0.0133096331834271,0.03547468923629574,0.005106793803902324,55125.47875382637,24,86282.0
1809,0.0133096331834271,0.03547468923629574,0.005106793803902324,55128.28311055673,23,86621.0
648,0.001363591826335594,0.2869716169041701,0.0021226960231459347,212.0,0,260.0
649,0.001363591826335594,0.2869716169041701,0.0021226960231459347,212.0,0,231.0
878,0.020734827797909434,0.14428940355760375,0.007985003493671032,28673.92933777119,12,82243.0
879,0.020734827797909434,0.14428940355760375,0.007985003493671032,28543.42836945275,12,82079.0
1300,0.02210373844547241,0.4097527749705196,0.009368632877365082,6158.286449481337,8,34920.0
1301,0.02210373844547241,0.4097527749705196,0.009368632877365082,6369.724148076076,8,35706.0
476,0.006059848756374076,0.3412523071582638,0.007312513297728443,731.0,0,1611.0
477,0.006059848756374076,0.3412523071582638,0.007312513297728443,731.0,0,2465.0
996,0.006363493551094779,0.07404860246569987,0.004639026440743557,14932.387151986453,36,52649.0
997,0.006363493551094779,0.07404860246569987,0.004639026440743557,14824.840265891375,36,52225.0
1612,0.00314237219294762,0.3687608123170313,0.006506813590111863,651.0,0,858.0
1613,0.00314237219294762,0.3687608123170313,0.006506813590111863,651.0,0,894.0
1258,0.002824024385537619,0.07713247233707045,0.008963163696093103,2442.056409930581,50,11129.0
1259,0.002824024385537619,0.07713247233707045,0.008963163696093103,2611.880347714238,52,12264.0
936,0.010310696668462953,0.4798850125685403,0.00658922524918639,659.0,0,4107.0
937,0.010310696668462953,0.4798850125685403,0.00658922524918639,659.0,0,3217.0
686,0.022879549204956856,0.1366776337104707,0.005303323578842357,33181.78393040558,11,86694.0
687,0.022879549204956856,0.1366776337104707,0.005303323578842357,32981.39758018506,12,86887.0
1328,0.017382523521969194,0.29590742218999516,0.006584982800966537,7634.101007891972,11,39932.0
1329,0.017382523521969194,0.29590742218999516,0.006584982800966537,7172.9614209957135,11,38856.0
1342,0.0017455988539492727,0.3757022234904016,0.0012879109439835894,129.0,0,142.0
1343,0.0017455988539492727,0.3757022234904016,0.0012879109439835894,129.0,0,145.0
1304,0.010893172425581066,0.1472831974621959,0.0032834387962336785,11287.727227809653,21,50829.0
1305,0.010893172425581066,0.1472831974621959,0.0032834387962336785,11611.615649228062,22,51297.0
692,0.013725739979694758,0.3024195762604881,0.006305848769420274,4114.412793507153,13,26160.0
693,0.013725739979694758,0.3024195762604881,0.006305848769420274,3888.7242758219613,13,25864.0
762,0.008789850891383094,0.17417632371290837,0.008696000208987333,5639.586682123314,19,31624.0
763,0.008789850891383094,0.17417632371290837,0.008696000208987333,5377.421790775985,20,31191.0
986,0.01475554301422546,0.33787340312943287,0.005894608105394795,3869.6813845796532,12,24875.0
987,0.01475554301422546,0.33787340312943287,0.005894608105394795,3648.6309833929654,12,24303.0
1416,0.01553215699673869,0.03701745854614534,0.008895256135543376,58076.50692612834,20,89521.0
1417,0.01553215699673869,0.03701745854614534,0.008895256135543376,58298.59038360929,20,89518.0
1026,0.01352804771884892,0.3003120357993288,0.00764272823924449,4364.496679519661,12,26455.0
1027,0.01352804771884892,0.3003120357993288,0.00764272823924449,4038.4453672746417,13,26145.0
1126,0.013989948367999893,0.28461767452026027,0.008621699458616463,5075.669289966948,12,29563.0
1127,0.013989948367999893,0.28461767452026027,0.008621699458616463,4971.121419810543,13,30333.0
1714,0.019940195550008838,0.31173491030523753,0.0015291308431427358,8961.72248353403,13,44659.0
1715,0.019940195550008838,0.31173491030523753,0.0015291308431427358,8724.297977559627,12,43814.0
1562,0.020442381539745053,0.2646959881025582,0.0024741807036224215,13054.496231281128,11,55157.0
1563,0.020442381539745053,0.2646959881025582,0.0024741807036224215,12532.130193293131,12,54514.0
270,0.005673529901962467,0.09584917066063892,0.0022276542942527527,7619.990356558586,40,34332.0
271,0.005673529901962467,0.09584917066063892,0.0022276542942527527,7178.33226391942,44,33343.0
464,0.004648149324934937,0.1307438856553384,0.005910552044050626,2244.257498457741,25,14546.0
465,0.004648149324934937,0.1307438856553384,0.005910552044050626,2033.3959600419569,30,13920.0
1862,0.015921041053505725,0.06548296337866584,0.0015925147980786892,43995.84077494162,20,92160.0
1863,0.015921041053505725,0.06548296337866584,0.0015925147980786892,43512.38147490373,20,91933.0
852,0.0085942677000986,0.2241659031353428,0.003754081120763495,2252.1826509869284,22,17728.0
853,0.0085942677000986,0.2241659031353428,0.003754081120763495,2361.063597749008,23,17103.0
1320,0.02167211210455375,0.368251848677843,0.007341746283713168,7810.7954969534485,8,40273.0
1321,0.02167211210455375,0.368251848677843,0.007341746283713168,7419.950458977458,9,39451.0
1990,0.00296056718022008,0.3384903657965335,0.00936079398310358,936.0,0,1177.0
1991,0.00296056718022008,0.3384903657965335,0.00936079398310358,936.0,0,1279.0
72,0.021430466796682042,0.4456169220720925,0.008037923060045145,5217.613787565576,8,30405.0
73,0.021430466796682042,0.4456169220720925,0.008037923060045145,5005.791810393407,8,29347.0
1090,0.0020836883665491203,0.23569962175479206,0.00973193670855034,973.0,0,1253.0
1091,0.0020836883665491203,0.23569962175479206,0.00973193670855034,973.0,0,1271.0
232,0.014948173156004127,0.35931770913674366,0.0021708229116518623,2743.7147001528983,13,20646.0
233,0.014948173156004127,0.35931770913674366,0.0021708229116518623,3489.2524730088658,15,22759.0
868,0.010850428237081777,0.411782913783335,0.009750366973650025,975.0,0,7811.0
869,0.010850428237081777,0.411782913783335,0.009750366973650025,975.0,0,7985.0
780,0.017583321934202277,0.02553471349520816,0.002722148340982709,69050.4045842602,20,81565.0
781,0.017583321934202277,0.02553471349520816,0.002722148340982709,68965.07784629436,21,81261.0
1502,0.020545621757077644,0.25415258347675884,0.0014939813469246723,13488.147973235613,12,56655.0
1503,0.020545621757077644,0.25415258347675884,0.0014939813469246723,13836.342135332226,13,56897.0
1594,0.004036692594473739,0.41417997683803487,0.009512653664692877,951.0,0,1222.0
1595,0.004036692594473739,0.41417997683803487,0.009512653664692877,951.0,0,1237.0
360,0.00698522328550003,0.029658166318794962,0.008371555700924765,42548.31705923711,40,66763.0
361,0.00698522328550003,0.029658166318794962,0.008371555700924765,43162.86234023656,39,67404.0
304,0.009900785050827256,0.4135250687224605,0.008594762592586357,859.0,0,5140.0
305,0.009900785050827256,0.4135250687224605,0.008594762592586357,859.0,0,6165.0
76,0.016600223530784504,0.36769686081485164,0.0013389003380052376,3758.639912930895,14,25176.0
77,0.016600223530784504,0.36769686081485164,0.0013389003380052376,3722.5252435030598,17,25116.0
1892,0.009851677053959677,0.46637126172748133,0.00960902820761338,961.0,0,4388.0
1893,0.009851677053959677,0.46637126172748133,0.00960902820761338,961.0,0,5171.0
1420,0.01162736525080171,0.12404505214543024,0.006014135516779956,17375.57464828511,20,64735.0
1421,0.01162736525080171,0.12404505214543024,0.006014135516779956,16841.844676440265,20,63231.0
