replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,83,0.9562205076217651,773.9708862304688,139.11175537109375,1192.7945556640625,1181.532958984375,2.909876851240794,best_balanced_mlp_model_1.pt,experiments\lhs-sampling\out\trained-models
2,123,92,0.9558629989624023,778.38818359375,136.8135528564453,1140.5723876953125,1122.1246337890625,3.007770872116089,best_balanced_mlp_model_2.pt,experiments\lhs-sampling\out\trained-models
3,456,85,0.9554636478424072,738.0068359375,130.17498779296875,1011.8681640625,984.1680297851562,2.347753556569417,best_balanced_mlp_model_3.pt,experiments\lhs-sampling\out\trained-models
4,789,90,0.9562817811965942,752.163818359375,137.91763305664062,1010.0359497070312,1004.8841552734375,3.280669105052948,best_balanced_mlp_model_4.pt,experiments\lhs-sampling\out\trained-models
5,1011,78,0.9557024240493774,733.2958984375,137.7366943359375,1080.0628662109375,1045.885498046875,2.559290313720703,best_balanced_mlp_model_5.pt,experiments\lhs-sampling\out\trained-models
6,1213,98,0.9549574255943298,776.346923828125,137.429443359375,1207.9110107421875,1185.9180908203125,2.405187197526296,best_balanced_mlp_model_6.pt,experiments\lhs-sampling\out\trained-models
7,1415,96,0.9567954540252686,743.3817749023438,136.29824829101562,1003.3751220703125,962.7269287109375,2.385398296515147,best_balanced_mlp_model_7.pt,experiments\lhs-sampling\out\trained-models
8,1617,98,0.9567849040031433,707.25927734375,134.96102905273438,1080.032470703125,1052.4874267578125,2.3230751872062685,best_balanced_mlp_model_8.pt,experiments\lhs-sampling\out\trained-models
9,1819,97,0.956955075263977,735.8571166992188,144.50955200195312,1036.891845703125,1018.4034423828125,2.295773148536682,best_balanced_mlp_model_9.pt,experiments\lhs-sampling\out\trained-models
10,2021,96,0.9568172693252563,698.1678466796875,133.08970642089844,1096.5325927734375,1074.2744140625,2.3972194234530133,best_balanced_mlp_model_10.pt,experiments\lhs-sampling\out\trained-models
