sim_id,replicate_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
0,0,0.004933037686449408,0.9369378715333713,0.002819924263564682,0.3054,282.0,0.0,325.0,0.00325,1
1,0,0.011575062730824618,0.2243394530654195,0.00969043902909771,2.9926,5978.577389180283,14.056224899598394,33069.0,0.33069,0
2,0,0.001651060801920309,0.4220608483399528,0.007240437054083826,0.2269,724.0,0.0,781.0,0.00781,1
3,0,0.012819119427552624,0.2633766622884734,0.006832611158732866,2.823,4767.17934056745,14.056224899598394,29778.0,0.29778,0
4,0,0.01608598488284447,0.6893916522922706,0.0009294597651699019,1.3533,175.20542718586844,5.020080321285141,1832.0,0.01832,1
5,0,0.009311397250769881,0.17955891453325204,0.002584794617809286,3.0077,5747.3773546451675,22.08835341365462,32149.0,0.32149,0
6,0,0.0047481930833001545,0.2219635165516992,0.0011241878405617702,1.2407,140.81328341192435,117.46987951807229,2383.0,0.02383,1
7,0,0.0016421633294271686,0.9423054082282698,0.008481147695898911,0.1011,848.0,0.0,873.0,0.00873,1
8,0,0.01979964937499944,0.4132499138445947,0.0068775541451953776,2.7789,4630.150418968275,9.036144578313253,29123.0,0.29123,0
9,0,0.0013932796603401425,0.7751186257120319,0.0010524890686395736,0.1043,105.0,0.0,109.0,0.00109,1
10,0,0.0037497396519852715,0.20765116780005866,0.008903063275885057,1.0474,890.0,0.0,2828.0,0.02828,1
11,0,0.004616285807575027,0.20434159593940687,0.005318252324327391,1.3103,677.6894341331465,24.096385542168676,4780.0,0.0478,1
12,0,0.012512343543321076,0.5530617132031161,0.0030286368179372456,1.3122,303.0,0.0,2340.0,0.0234,1
13,0,0.019157298038196154,0.32700694877791997,0.0027019273683695933,3.3979,7618.309060791309,11.04417670682731,40038.0,0.40038,0
14,0,0.0015358866029169765,0.7958841281447364,0.009855128525070285,0.1119,986.0,0.0,1036.0,0.01036,1
15,0,0.004621057693927325,0.3342185132120936,0.008145678223291946,0.8019,815.0,0.0,1775.0,0.01775,1
16,0,0.005857870659859618,0.4579707859243454,0.00041696535312808406,0.7419,42.0,0.0,47.0,0.00047,1
17,0,0.002542850995146096,0.8263535965409003,0.007413131337978444,0.1785,741.0,0.0,777.0,0.00777,1
18,0,0.0005940077791500818,0.9628000120415481,0.008329901010052902,0.0358,833.0,0.0,843.0,0.00843,0
19,0,0.008002946440839721,0.7977968400086902,0.0010896387416854932,0.5818,109.0,0.0,149.0,0.00149,1
20,0,0.00271370843478268,0.8985642260677753,0.004386648005929829,0.1752,439.0,0.0,472.0,0.00472,1
21,0,0.01496502565859125,0.5658743345417088,0.004395998076959275,1.5339,501.9001499312989,10.040160642570282,5967.0,0.05967,1
22,0,0.012286214861017705,0.906607640661337,0.003486069010690162,0.786,349.0,0.0,541.0,0.00541,1
23,0,0.013206034984483084,0.5362730207241709,0.004908768828736364,1.4283,565.4623900149744,6.024096385542169,5217.0,0.05217,1
24,0,0.007392735141280805,0.10562286725790959,0.008932442385161238,4.0595,10612.84848359365,25.100401606425706,49150.0,0.4915,0
25,0,0.00900658493246614,0.770027534057014,0.0029374608203764398,0.6784,294.0,0.0,378.0,0.00378,1
26,0,0.0024729616889642924,0.7700385583301378,0.005881712952645225,0.1863,588.0,0.0,636.0,0.00636,1
27,0,0.014827110382574896,0.9383490081603925,0.0055094494152847584,0.9165,551.0,0.0,1597.0,0.01597,1
28,0,0.010243519557386234,0.4852471822688513,0.00402446930778578,1.2244,402.0,0.0,3336.0,0.03336,1
29,0,0.0018517283533407813,0.4469049067875727,0.0015727317067499788,0.2403,157.0,0.0,167.0,0.00167,1
30,0,0.0011126611714615355,0.23421824312380207,0.005862425044536032,0.2755,586.0,0.0,639.0,0.00639,1
31,0,0.010483702571061033,0.15706490941383916,0.003896361631899511,3.8714,10091.245170154345,21.084337349397593,46923.0,0.46923,0
32,0,0.0013237433193995156,0.4870531215986318,0.009367014049722455,0.1576,937.0,0.0,1002.0,0.01002,1
33,0,0.003245885098581676,0.43670595021104736,0.0074360394621646,0.4311,744.0,0.0,1018.0,0.01018,1
34,0,0.006436313069492671,0.8659801140299784,0.002399297376954169,0.4311,240.0,0.0,282.0,0.00282,1
35,0,0.006341141309824452,0.7506053779022316,0.009861586149316193,0.49,986.0,0.0,1298.0,0.01298,1
36,0,0.002746175618380786,0.35848070829694734,0.006499343097561681,0.4443,650.0,0.0,815.0,0.00815,1
37,0,0.00688194391140331,0.7654948120521391,0.001334483423257014,0.5214,133.0,0.0,175.0,0.00175,1
38,0,0.01840473909984608,0.39918478258280693,0.004772606177321592,2.6741,4126.563557806854,10.040160642570282,26394.0,0.26394,0
39,0,0.004446343718762537,0.25793059676600366,0.002104784419897234,0.9998,210.0,0.0,1992.0,0.01992,1
40,0,0.011276683151214873,0.30091509906536296,0.007603192130090067,2.1735,2643.782467358348,12.048192771084338,18153.0,0.18153,0
41,0,0.018034032125782386,0.4701410545806048,0.005209890286910524,2.2248,2655.115157669111,11.04417670682731,19140.0,0.1914,0
42,0,0.0033724974422823187,0.12936973263927132,0.007568111236949163,1.512,855.4766680099832,29.11646586345382,6887.0,0.06887,1
43,0,0.008557850915683255,0.8371087655627221,0.0036620169253452897,0.5929,366.0,0.0,565.0,0.00565,1
44,0,0.014187054980628883,0.9743101016065054,0.001861004794625146,0.8445,186.0,0.0,515.0,0.00515,1
45,0,0.016883317110944995,0.8627221876696048,0.008024648836319625,1.135,802.0,0.0,3233.0,0.03233,1
46,0,0.017196152488187594,0.35947661876403225,0.005611155275155855,2.7745,4357.1123449678635,13.052208835341366,28640.0,0.2864,0
47,0,0.003733106891783017,0.5856577122393143,0.009993240890680499,0.3697,999.0,0.0,1176.0,0.01176,1
48,0,0.010793586365828335,0.9868941993816364,0.009053562939914076,0.6343,905.0,0.0,1540.0,0.0154,1
49,0,0.014025753022156213,0.3998571808120434,0.009788149267101537,2.0345,2460.452594097611,8.032128514056225,16404.0,0.16404,0
50,0,0.0035581902820538158,0.27857178913320363,0.0013916227492203458,0.7408,139.0,0.0,183.0,0.00183,1
51,0,0.019717212181621847,0.8718028615333169,0.007993338988320128,1.3118,799.0,0.0,4932.0,0.04932,1
52,0,0.018248192433711685,0.29699017064830713,0.0005687875181856308,3.5637,8244.122785035148,15.060240963855422,42129.0,0.42129,0
53,0,0.014479666695999455,0.630829918242451,0.0059177898219637546,1.3313,592.0,0.0,4576.0,0.04576,1
54,0,0.015525749500953886,0.6992036523401244,0.008212067532338607,1.2879,821.0,0.0,5611.0,0.05611,1
55,0,0.015417014143631306,0.6292248390810037,0.0005665702049494871,1.4211,67.18138290803951,4.016064257028113,492.0,0.00492,1
56,0,0.00041371927407114176,0.8136080635451701,0.002954650290029532,0.0295,295.0,0.0,298.0,0.00298,0
57,0,0.011284276444923327,0.7598433401856634,0.00236358548855414,0.8613,236.0,0.0,1001.0,0.01001,1
58,0,0.011705472499568211,0.7516247580820683,0.006922333187449655,0.9033,692.0,0.0,2139.0,0.02139,1
59,0,0.009194401533945929,0.33363800761038465,0.005400295738466796,1.5984,1031.8760756761394,15.060240963855422,8818.0,0.08818,1
60,0,0.0193141596567455,0.6228352550269681,0.005032422790035851,1.7986,1310.161488074633,7.028112449799197,11190.0,0.1119,1
61,0,0.0063107907094730135,0.20088975518371077,0.0023092025746352047,1.822,1310.154856440245,32.1285140562249,11051.0,0.11051,1
62,0,0.004837991680533801,0.15591973367540618,0.0032781978872591325,1.7997,1008.2606855766735,57.22891566265061,10086.0,0.10086,1
63,0,0.014952298007537643,0.5702473063918698,0.0015092763498945393,1.5208,824.4465757064681,9.036144578313253,7010.0,0.0701,1
64,0,0.016549102267770392,0.48548726689639093,0.0026063591039343107,1.9771,1459.2507114704422,10.040160642570282,12994.0,0.12994,1
65,0,0.017663368133440775,0.5779352351464999,0.0023934391331113963,1.7726,899.7775009017145,10.040160642570282,9021.0,0.09021,1
66,0,0.006046051001017967,0.9858339008932366,0.005653514940241137,0.3557,565.0,0.0,652.0,0.00652,1
67,0,0.01456828070888176,0.6093952716688237,0.0016872074575433197,1.3866,340.7386654837345,15.060240963855422,4548.0,0.04548,1
68,0,0.0038385434171799597,0.6454400789391818,0.002092171851627969,0.3449,209.0,0.0,251.0,0.00251,1
69,0,0.004068305812372182,0.15960204369085934,0.0006555253050950224,1.4784,322.3150781312325,75.30120481927712,4120.0,0.0412,1
70,0,0.01998612208868625,0.5590103113388655,0.0005181047751313738,2.0737,1823.371672940564,13.052208835341366,16012.0,0.16012,0
71,0,0.013776363772180632,0.3130746058064145,0.004624903693425795,2.5522,3964.2769086032813,14.056224899598394,25185.0,0.25185,0
72,0,0.005337087241134075,0.7513759576989554,0.0008672146213035331,0.412,87.0,0.0,95.0,0.00095,1
73,0,0.0014026234414902593,0.46134598117549513,0.005788914867951885,0.1763,579.0,0.0,615.0,0.00615,1
74,0,0.01897280505110613,0.19642556661601057,0.005870004256556339,5.6022,17646.48751768741,12.048192771084338,65775.0,0.65775,0
75,0,0.007429473867577258,0.5217236268673193,0.006967411286740532,0.8259,697.0,0.0,1196.0,0.01196,1
76,0,0.008326722066891614,0.5055752259863988,0.0036278323099389943,0.9552,363.0,0.0,757.0,0.00757,1
77,0,0.0042165282895994935,0.3733861959047713,0.005812261570786396,0.655,581.0,0.0,916.0,0.00916,1
78,0,0.012133727109172581,0.7259498248032077,0.006786459491155484,0.9694,679.0,0.0,1616.0,0.01616,1
79,0,0.010892430393437907,0.6215817362695152,0.006300976868549244,1.0164,630.0,0.0,2069.0,0.02069,1
80,0,0.009596795215084544,0.2525458517463215,0.006937831107156458,2.204,2788.220432969322,16.06425702811245,18843.0,0.18843,0
81,0,0.002262235490721566,0.3149813163078309,0.009590653061848812,0.4166,959.0,0.0,1181.0,0.01181,1
82,0,0.01588580930761986,0.37303922398972533,0.0039982494360514325,2.4699,3419.2457373884954,11.04417670682731,22868.0,0.22868,0
83,0,0.009773539813458444,0.6284847758005735,0.004194264735278513,0.902,419.0,0.0,1459.0,0.01459,1
84,0,0.007920933906262539,0.8589619034831936,0.0029926096098827092,0.5348,299.0,0.0,347.0,0.00347,1
85,0,0.0009067502496964194,0.9228871633418837,0.005488141145899031,0.057,549.0,0.0,564.0,0.00564,0
86,0,0.01612375464627999,0.47307739627085366,0.007463586998797308,1.9768,2022.6186528226258,10.040160642570282,14697.0,0.14697,1
87,0,0.019275590757658764,0.3851934657500592,0.0008289088788573519,2.9024,5539.488238289891,13.052208835341366,31766.0,0.31766,0
88,0,0.017199194532035247,0.9485066626195165,0.006702153148170916,1.0517,670.0,0.0,2930.0,0.0293,1
89,0,0.002049172869826331,0.09046882101962966,0.005026502730629937,1.3137,539.7097945151551,51.204819277108435,4731.0,0.04731,1
90,0,0.015182610582439228,0.408492780431864,0.0006171650137357678,2.1557,2452.3481314145556,19.076305220883533,16200.0,0.162,0
91,0,0.011883653088594402,0.914827476245323,0.0050205232305398995,0.7534,502.0,0.0,1038.0,0.01038,1
92,0,0.01226876095711118,0.3997324024092283,0.004713417571985643,1.7802,1300.3781828240683,13.052208835341366,11056.0,0.11056,1
93,0,0.012319321065387735,0.38624582249603545,0.008587116028621892,1.8499,1314.7901241640134,14.056224899598394,12009.0,0.12009,1
94,0,0.005002763505411855,0.3115377943908528,0.0025197157649822486,0.9314,252.0,0.0,430.0,0.0043,1
95,0,0.0029034310004015153,0.3278405359335751,0.0009632546053830186,0.5137,96.0,0.0,115.0,0.00115,1
96,0,0.004455564167191663,0.5328600697588342,0.002394569264939278,0.485,239.0,0.0,313.0,0.00313,1
97,0,0.017948443445053433,0.8458183909668826,0.006791710388128832,1.2308,679.0,0.0,3288.0,0.03288,1
98,0,0.011255667721463613,0.6978425092235928,0.007748568303058753,0.9355,775.0,0.0,2200.0,0.022,1
99,0,0.009678463588112538,0.4885532117095967,0.006159569380500359,1.149,616.0,0.0,3098.0,0.03098,1
100,0,0.0004010622485426106,0.5755712917967785,0.005951734985681629,0.0404,595.0,0.0,608.0,0.00608,0
101,0,0.009429705006567353,0.7649056893572237,0.0038232987775596973,0.715,382.0,0.0,624.0,0.00624,1
102,0,0.012379100696150912,0.8194045379491264,0.0009734673892299125,0.8762,97.0,0.0,150.0,0.0015,1
103,0,0.01907951497803508,0.6119164889149159,0.00043852373424998966,1.8084,883.5322704097398,23.092369477911646,9202.0,0.09202,1
104,0,0.0019540720458729754,0.8459837158852009,0.006188489600400427,0.134,619.0,0.0,655.0,0.00655,1
105,0,0.009900307841757943,0.27021329578433495,0.0038865226338088707,2.1251,2729.678256924427,18.072289156626507,17645.0,0.17645,0
106,0,0.005963454423105639,0.48800400896901835,0.005832298403325444,0.7088,583.0,0.0,930.0,0.0093,1
107,0,0.01752594222353131,0.592123713088999,0.006793317876205359,1.7167,1336.9162275621472,8.032128514056225,10034.0,0.10034,1
108,0,0.010410332476456906,0.3622476741381802,0.005655750702083818,1.6668,806.4354520672514,21.084337349397593,9337.0,0.09337,1
109,0,0.013737441370697327,0.5388582269874914,0.0011207941619868975,1.4786,630.7668689873926,10.040160642570282,5697.0,0.05697,1
110,0,0.006020112129798241,0.5966663173450893,0.008189334580919227,0.5852,819.0,0.0,1226.0,0.01226,1
111,0,0.018575755896649396,0.7554101638048404,0.0033050027570711354,1.4262,519.0190251365251,10.040160642570282,5201.0,0.05201,1
112,0,0.01024599543432975,0.8783927367978315,0.0011879290546576314,0.6765,119.0,0.0,155.0,0.00155,1
113,0,0.014974079097209606,0.8996930243931939,0.00599582920758557,0.9653,600.0,0.0,2290.0,0.0229,1
114,0,0.009155524775766337,0.8606258329966512,0.005226590645991282,0.617,523.0,0.0,712.0,0.00712,1
115,0,0.00922202221351132,0.3163203940505505,0.007968042919637004,1.6909,1040.7105728089166,14.056224899598394,9430.0,0.0943,1
