sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
1144,0.0172189,0.88384063,0.00321045,0.6624,0,321.0,0.0,1974.0
1690,0.01016795,0.262719,0.00330754,1.3159,0,2530.5346,21.08,18424.0
1586,0.00885445,0.8146785,0.00239401,0.3695,0,239.0,0.0,308.0
2056,0.00807911,0.21433955,0.00736661,1.2816,0,2343.2546,21.08,17091.0
2708,0.00701218,0.90983976,0.00675149,0.262,0,675.0,0.0,845.0
709,0.01529726,0.77872979,0.00833101,0.6679,0,833.0,0.0,4245.0
1620,0.01292036,0.42162912,0.00649425,1.0419,1,1403.4149,10.04,11412.0
2976,0.00899933,0.77893836,0.00613962,0.3928,0,614.0,0.0,970.0
2536,0.00279989,0.29192416,0.00553026,0.3261,0,553.0,0.0,743.0
1455,0.0167715,0.74126298,0.00965295,0.7693,0,965.0,0.0,4584.0
3843,0.00058193,0.17890292,0.00058854,0.1106,0,59.0,0.0,68.0
3491,0.00236431,0.88877702,0.00317314,0.0904,0,317.0,0.0,333.0
3912,0.00914489,0.63175583,0.00059449,0.4922,0,59.0,0.0,72.0
3228,0.0109239,0.97586492,0.00763495,0.3806,0,763.0,0.0,1227.0
3578,0.01586426,0.62049735,0.00472942,0.8693,1,630.8207,8.03,5803.0
3226,0.01772396,0.89106744,0.00918256,0.6763,0,918.0,0.0,2972.0
3199,0.00109155,0.63862949,0.00371883,0.0581,0,372.0,0.0,387.0
3343,0.00458375,0.91107029,0.00554254,0.1711,0,554.0,0.0,621.0
3579,0.01945959,0.76786,0.00700334,0.8616,1,752.3479,5.02,6420.0
2193,0.01484487,0.99113898,0.00343624,0.5092,0,344.0,0.0,922.0
3332,0.00536539,0.57366819,0.00982225,0.318,0,982.0,0.0,1295.0
3615,0.00600777,0.37194458,0.00305564,0.5492,0,306.0,0.0,817.0
1188,0.00544186,0.43232259,0.00016182,0.428,0,16.0,0.0,19.0
2850,0.00503929,0.65770967,0.00508091,0.2605,0,508.0,0.0,649.0
454,0.00183149,0.29210279,0.00013184,0.2132,0,17.0972,10.04,58.0
