sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
1144,0.01766522,0.4551661,0.00390876,1.3196,0,2570.331,10.04,17953.0
1690,0.00922821,0.40025915,0.0075237,0.7839,0,752.0,0.0,5393.0
1586,0.01020331,0.30087264,0.00574994,1.153,1,1639.5822,15.06,13668.0
2056,0.01207083,0.45076726,0.00232517,0.9105,1,389.7456,24.1,5510.0
2708,0.00839201,0.34402849,0.00389695,0.8294,1,572.0599,18.07,5363.0
709,0.01980178,0.33905531,0.00991578,1.9857,0,7755.4905,9.04,40262.0
1620,0.00554944,0.27936033,0.00202828,0.6754,0,203.0,0.0,1051.0
2976,0.02195483,0.45794651,0.00195796,1.63,0,4522.0001,11.04,27913.0
2536,0.00821244,0.26042828,0.00606647,1.0722,1,1498.7948,19.08,12462.0
1455,0.01773749,0.3470253,0.00872742,1.7378,0,5743.6761,10.04,32990.0
3843,0.0028641,0.25070039,0.00151909,0.3884,0,152.0,0.0,194.0
3491,0.00282841,0.4358303,0.00814249,0.2207,0,814.0,0.0,1046.0
3912,0.00379235,0.25115801,0.00945378,0.5134,0,945.0,0.0,1803.0
3228,0.02347468,0.25824976,0.00623109,3.0906,0,15967.7377,10.04,62285.0
3578,0.00684731,0.30679825,0.00541463,0.7588,0,541.0,0.0,3118.0
3226,0.00513318,0.09725435,0.00727126,1.7946,0,5907.4109,38.15,33885.0
3199,0.02017011,0.30077985,0.00387276,2.28,0,10058.1723,11.04,46677.0
3343,0.00341358,0.20240669,0.00691399,0.5734,0,691.0,0.0,1583.0
3579,0.02054232,0.44798314,0.00662435,1.5591,0,4801.4708,8.03,28448.0
2193,0.00404899,0.15350859,0.00551793,0.8968,1,808.1504,30.12,6736.0
3332,0.00088811,0.0926466,0.00619155,0.3259,0,619.0,0.0,945.0
3615,0.00320212,0.03594869,0.0093926,3.0285,0,16774.8681,68.27,62080.0
1188,0.01186632,0.43746979,0.00996048,0.9222,1,996.0,0.0,7680.0
2850,0.01455151,0.4531281,0.00239496,1.0919,1,1318.9242,8.03,11073.0
454,0.00206979,0.19388649,0.00104674,0.363,0,105.0,0.0,159.0
1012,0.02399429,0.41328541,0.00322539,1.974,0,8009.1547,8.03,39819.0
3580,0.01677957,0.23636089,0.00994356,2.4137,0,11059.435,11.04,50145.0
3744,0.00344045,0.42332869,0.00512216,0.2763,0,512.0,0.0,638.0
3417,0.01084058,0.45244075,0.00451549,0.8146,1,548.3468,10.04,5330.0
3350,0.01395712,0.42718561,0.00447716,1.1109,1,1543.7946,14.06,12897.0
2495,0.00503819,0.17887856,0.0064796,0.9576,1,1143.1399,20.08,8458.0
3562,0.00275366,0.2054171,0.00938373,0.4558,0,938.0,0.0,1708.0
2298,0.02043623,0.17414217,0.00768841,3.99,0,22677.3049,11.04,74714.0
2003,0.00953119,0.45737278,0.00946561,0.7085,0,947.0,0.0,3513.0
3963,0.00532293,0.22206945,0.00966535,0.815,1,967.0,0.0,5684.0
3098,0.0108517,0.39292141,0.00870105,0.939,1,870.0,0.0,8049.0
2765,0.01347792,0.27187964,0.00533719,1.6855,0,5158.1422,14.06,30565.0
175,0.00630988,0.14896171,0.00593175,1.4402,0,3558.6271,30.12,22913.0
2185,0.01470972,0.48047221,0.00419239,1.0409,1,1406.9699,10.04,11135.0
522,0.01798472,0.48762611,0.00786069,1.254,0,2233.8199,9.04,17281.0
1738,0.00950727,0.30656609,0.00434096,1.0544,1,1173.146,17.07,10511.0
1124,0.00910312,0.27448792,0.00477983,1.1276,1,1131.4681,21.08,11981.0
512,0.00934679,0.28406165,0.00709679,1.1187,1,1686.1062,14.06,13063.0
1804,0.00823654,0.4966192,0.00245746,0.5639,0,246.0,0.0,424.0
2989,0.00102929,0.15535452,0.00218772,0.2253,0,219.0,0.0,255.0
3708,0.00785278,0.28108353,0.00580352,0.9499,1,980.7994,16.06,7648.0
3308,0.00199316,0.08450763,0.0053758,0.8019,1,613.4534,51.2,5337.0
3499,0.01365256,0.23757696,0.0017063,1.9538,0,6789.0737,16.06,37122.0
3342,0.02322968,0.39080147,0.00694929,2.021,0,8291.8417,8.03,41074.0
377,0.00780718,0.4025938,0.00667973,0.6593,0,668.0,0.0,3237.0
3120,0.01785957,0.49033885,0.00868199,1.2384,0,2164.2569,8.03,16270.0
2389,0.00660773,0.13709235,0.00342676,1.6388,0,4232.9809,29.12,26949.0
122,0.00518488,0.26848002,0.00444355,0.6566,0,444.0,0.0,2207.0
1118,0.00682499,0.11502626,0.00770849,2.0174,0,7965.9253,28.11,40454.0
3387,0.01853247,0.35441301,0.00470524,1.7779,0,5501.2787,10.04,32406.0
2472,0.00246294,0.05903173,0.00627498,1.4186,0,3350.8461,77.31,21927.0
2047,0.01915067,0.32044707,0.00650369,2.0319,0,7887.4745,10.04,40249.0
192,0.01392577,0.30844081,0.00225673,1.5351,0,3849.9877,16.06,25627.0
2927,0.00410749,0.15512676,0.00591699,0.9003,1,615.3258,41.16,6156.0
3099,0.00469906,0.14174499,0.00815533,1.1272,1,1908.1657,31.12,14229.0
2411,0.00975832,0.16023098,0.00601045,2.0707,0,8034.904,21.08,41322.0
1953,0.01190845,0.40796121,0.00621317,0.9925,1,1047.1669,9.04,9404.0
1875,0.01009771,0.49560337,0.00498724,0.6927,0,499.0,0.0,2875.0
1440,0.00940684,0.22943394,0.00153393,1.394,0,2907.359,23.09,21467.0
1152,0.00051949,0.25945697,0.00893658,0.0681,0,894.0,0.0,935.0
31,0.00104013,0.3780165,0.00617906,0.0936,0,618.0,0.0,653.0
865,0.01346621,0.41893133,0.00301254,1.0929,1,1418.7061,15.06,10908.0
1276,0.00161802,0.16710489,0.00566308,0.3292,0,566.0,0.0,742.0
3296,0.01451884,0.43678365,0.00686836,1.1302,1,1708.3299,9.04,13627.0
2092,0.02121277,0.47015238,0.00581448,1.534,0,3862.313,9.04,25617.0
1305,0.0055383,0.41348764,0.00985873,0.4554,0,986.0,0.0,1975.0
3765,0.00169587,0.04704222,0.00820712,1.2257,0,2085.9838,73.29,15607.0
1701,0.00254269,0.18902705,0.00525151,0.4573,0,525.0,0.0,849.0
2579,0.01440759,0.36776274,0.00463893,1.332,0,2827.701,11.04,19519.0
3679,0.01788508,0.28081071,0.00565026,2.1655,0,9029.6314,12.05,44260.0
743,0.01022598,0.29423589,0.00310558,1.1816,1,1377.1696,19.08,12556.0
2292,0.01701928,0.44259069,0.00347907,1.3074,0,2754.2753,10.04,18933.0
409,0.01020843,0.33210296,0.00131462,1.0451,1,1074.9608,21.08,10827.0
1873,0.01136835,0.15964033,0.00687854,2.4212,0,10484.8514,18.07,48922.0
3191,0.00173678,0.28127776,0.00133983,0.2099,0,134.0,0.0,166.0
3115,0.00066743,0.07729378,0.0012825,0.2936,0,128.0,0.0,175.0
1055,0.01709686,0.34661286,0.00432023,1.6771,0,4899.2821,12.05,30538.0
1463,0.00270812,0.13561412,0.00164856,0.679,0,165.0,0.0,856.0
2552,0.00218281,0.07246962,0.00862122,1.0241,1,1120.3982,72.29,9819.0
638,0.00744903,0.17854072,0.00750336,1.4185,0,3223.7716,23.09,21970.0
1441,0.00870567,0.31024284,0.00343816,0.9541,1,669.6854,25.1,6541.0
186,0.01142794,0.39380907,0.00679605,0.9866,1,1110.7114,12.05,9746.0
2006,0.01047925,0.19096878,0.00799186,1.8657,0,6665.6602,19.08,36392.0
1069,0.0217824,0.4175967,0.00571023,1.7735,0,5709.4203,9.04,32881.0
1449,0.01361568,0.3714572,0.00821545,1.2463,0,2395.4896,11.04,16736.0
1473,0.00123736,0.09318699,0.00854028,0.4515,0,854.0,0.0,1686.0
174,0.01080798,0.43700817,0.00640484,0.8409,1,640.0,0.0,5927.0
2597,0.01088746,0.41206771,0.00510088,0.8983,1,510.0,0.0,6200.0
2884,0.01530087,0.37913885,0.00988519,1.3721,0,3295.0506,11.04,22239.0
3510,0.00328975,0.34158531,0.00372355,0.3274,0,372.0,0.0,493.0
1677,0.01640698,0.44150479,0.00168127,1.2635,0,1880.7824,16.06,15290.0
2901,0.0089289,0.21835233,0.00858482,1.3903,0,3125.342,17.07,21403.0
3359,0.00281446,0.36115262,0.00666779,0.265,0,667.0,0.0,885.0
2759,0.01013212,0.24827867,0.00920594,1.3875,0,3053.5452,16.06,21692.0
625,0.01039618,0.21536955,0.00360232,1.6412,0,4791.2754,20.08,28446.0
3759,0.01488969,0.42391595,0.00239184,1.1942,1,1793.4221,14.06,14869.0
680,0.00084264,0.21900791,0.0055004,0.1308,0,550.0,0.0,597.0
2045,0.01549114,0.22737717,0.00353298,2.3164,0,9534.7323,15.06,47110.0
470,0.00450093,0.23398677,0.00986933,0.654,0,987.0,0.0,3690.0
554,0.00804707,0.33990273,0.00551931,0.8049,1,552.0,0.0,3753.0
1088,0.00377146,0.38123417,0.00698294,0.3364,0,698.0,0.0,984.0
1132,0.00187931,0.30440037,0.0012473,0.2099,0,125.0,0.0,134.0
2845,0.0119333,0.21330491,0.00277317,1.9021,0,6846.144,19.08,37277.0
2956,0.01558857,0.48791048,0.00138253,1.0863,1,1423.4583,15.06,12380.0
178,0.01437807,0.24111242,0.00181265,2.0275,0,7174.1538,16.06,39235.0
1067,0.01576305,0.26070484,0.00514978,2.0557,0,7291.7177,15.06,40117.0
1692,0.00823743,0.35276451,0.00375006,0.7939,0,520.5348,15.06,4687.0
1912,0.00827082,0.13985297,0.00949934,2.0107,0,7870.0291,24.1,40280.0
1727,0.015307,0.47250618,0.00581417,1.1014,1,1388.9249,8.03,11437.0
2984,0.00075716,0.13327929,0.00622531,0.1932,0,623.0,0.0,729.0
135,0.0130236,0.45829805,0.00260913,0.9662,1,1035.1107,13.05,9768.0
3569,0.00215621,0.03902381,0.00598939,1.8786,0,6429.6558,90.36,33645.0
3552,0.00123707,0.26023243,0.00318084,0.1616,0,318.0,0.0,390.0
2109,0.01210929,0.27421432,0.0056169,1.5014,0,3943.8528,16.06,25402.0
1744,0.00697138,0.49606263,0.00378594,0.4778,0,379.0,0.0,763.0
1517,0.02169018,0.48268131,0.00531099,1.5279,0,4369.7319,8.03,26564.0
3680,0.00634157,0.23654514,0.00332642,0.9115,1,822.951,27.11,7433.0
812,0.01113158,0.19297483,0.00723678,1.9613,0,7176.3254,19.08,38119.0
797,0.00990577,0.3387489,0.00774838,0.9942,1,1164.8864,14.06,9447.0
2511,0.02074173,0.36183923,0.00399873,1.949,0,7511.9691,10.04,39030.0
3521,0.00153179,0.03619168,0.0097786,1.439,0,3434.9997,115.46,20295.0
2627,0.01824278,0.39891033,0.00151081,1.5549,0,3594.7204,13.05,24183.0
400,0.00524487,0.40146355,0.00899405,0.4442,0,899.0,0.0,1426.0
3911,0.00110896,0.22786942,0.00809379,0.1655,0,809.0,0.0,918.0
2620,0.00835028,0.30448839,0.00966065,0.9324,1,1145.0219,12.05,8839.0
68,0.00337639,0.33076725,0.00453499,0.3471,0,453.0,0.0,648.0
1412,0.01895648,0.45931824,0.00534682,1.4032,0,3000.3392,10.04,21140.0
2419,0.00694286,0.14055034,0.00576218,1.6795,0,5000.7354,25.1,29405.0
693,0.00380907,0.47711601,0.00400266,0.2714,0,400.0,0.0,484.0
3539,0.00324104,0.09091378,0.00632671,1.2121,0,2065.0027,46.18,16127.0
352,0.00308208,0.1475688,0.00333245,0.7101,0,333.0,0.0,1186.0
1257,0.01055224,0.42479685,0.00305011,0.8446,1,466.1473,13.05,5645.0
1048,0.02334669,0.40030251,0.00938447,1.983,0,7208.1893,8.03,39298.0
3156,0.00090375,0.40433765,0.00347087,0.076,0,347.0,0.0,361.0
1695,0.00908756,0.30554981,0.00137391,1.0112,1,950.6396,25.1,8810.0
2658,0.00780936,0.37143591,0.00491907,0.7148,0,492.0,0.0,2412.0
2149,0.004318,0.14596669,0.0067255,1.0058,1,1023.6795,34.14,9937.0
3507,0.00574326,0.27328345,0.00597142,0.7145,0,597.0,0.0,3062.0
50,0.00299667,0.12627191,0.00389786,0.8069,1,390.0,0.0,4122.0
1490,0.00300644,0.10895491,0.00260023,0.9382,1,692.3683,76.31,7113.0
2029,0.00519402,0.39669393,0.00164096,0.4452,0,164.0,0.0,277.0
2833,0.00115219,0.02946779,0.00797504,1.3294,0,2947.9357,139.56,14820.0
