replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,84,0.963513195514679,564.9850463867188,105.60916900634766,808.317138671875,781.0289916992188,1.0521129488945007,best_balanced_mlp_model_1.pt,experiments\mcmc-sampling\out\trained-models
2,123,93,0.9632454514503479,529.7241821289062,108.72065734863281,754.9493408203125,725.5025024414062,1.1568132003148397,best_balanced_mlp_model_2.pt,experiments\mcmc-sampling\out\trained-models
3,456,100,0.9611985683441162,597.0162353515625,111.62146759033203,853.4012451171875,826.0260009765625,1.232910112539927,best_balanced_mlp_model_3.pt,experiments\mcmc-sampling\out\trained-models
4,789,90,0.9620808362960815,562.5850830078125,110.16968536376953,802.2069702148438,775.378662109375,1.120362122853597,best_balanced_mlp_model_4.pt,experiments\mcmc-sampling\out\trained-models
5,1011,90,0.9568861126899719,681.56640625,116.6889877319336,977.8310546875,950.1788940429688,1.243879457314809,best_balanced_mlp_model_5.pt,experiments\mcmc-sampling\out\trained-models
6,1213,100,0.9596836566925049,544.35302734375,110.86522674560547,778.0114135742188,744.1825561523438,1.407843017578125,best_balanced_mlp_model_6.pt,experiments\mcmc-sampling\out\trained-models
7,1415,82,0.9577421545982361,658.5875854492188,122.40189361572266,947.8221435546875,905.5386962890625,1.1389971256256104,best_balanced_mlp_model_7.pt,experiments\mcmc-sampling\out\trained-models
8,1617,84,0.9571404457092285,571.0987548828125,107.6492691040039,815.4931030273438,790.1541748046875,1.1210171659787496,best_balanced_mlp_model_8.pt,experiments\mcmc-sampling\out\trained-models
9,1819,100,0.9670380353927612,564.4637451171875,110.80485534667969,807.1986083984375,775.3876953125,1.2605335076649984,best_balanced_mlp_model_9.pt,experiments\mcmc-sampling\out\trained-models
10,2021,100,0.9585127234458923,644.8522338867188,117.4626693725586,927.28173828125,889.8124389648438,1.24224750995636,best_balanced_mlp_model_10.pt,experiments\mcmc-sampling\out\trained-models
