sim_id,tau,gamma,rho,R0,peak_I,peak_time,final_R,attack_rate,near_threshold
0,0.015546934156552476,0.7246169715389846,0.005637281203168755,1.2444,564.0,0.0,2340.0,0.0234,0
1,0.00894590526311543,0.37640212801971995,0.008987534289406875,1.3785,899.0,0.0,4816.0,0.04816,0
2,0.017214379022254235,0.856311820074148,0.0028527788436063946,1.166,285.0,0.0,2169.0,0.02169,1
3,0.014038150172469469,0.2637478454552238,0.00035717784347095207,3.0871,5808.251532170416,19.076305220883533,33698.0,0.33698,0
4,0.002155293753386696,0.552241685384026,0.007778984536470826,0.2264,778.0,0.0,828.0,0.00828,0
5,0.019519760327244094,0.20861504063470698,0.007053538833722522,5.427,17215.469305416507,11.04417670682731,64760.0,0.6476,0
6,0.015294452129209952,0.5104415978942667,0.005500367292174517,1.7379,1266.0629113505486,11.04417670682731,10142.0,0.10142,0
7,0.01578546681395599,0.1778925137090346,0.008171893024319206,5.1467,15170.503876055265,14.056224899598394,61385.0,0.61385,0
8,0.0028238385637082536,0.18673126564037626,0.008416835289216513,0.8771,842.0,0.0,2015.0,0.02015,1
9,0.009172602976542672,0.6238566757307552,0.005920242749379922,0.8528,592.0,0.0,1227.0,0.01227,1
10,0.00760472107738185,0.2858724609104937,0.009662685139353975,1.5429,995.1867725412812,13.052208835341366,8151.0,0.08151,0
11,0.018557270280317457,0.19719620976731989,0.007225148281411541,5.4581,17398.139849718136,12.048192771084338,64821.0,0.64821,0
12,0.01298414286558909,0.931875202631021,0.0068010662240100255,0.8081,680.0,0.0,1336.0,0.01336,1
13,0.016508403781435352,0.07171315321784953,0.003678075746330589,13.3516,42188.430384283456,18.072289156626507,93584.0,0.93584,0
14,0.009035259716898423,0.5781936693150106,0.0001223599281400759,0.9063,12.0,0.0,15.0,0.00015,1
15,0.004776602819160104,0.5618159265782673,0.002485332471552362,0.4931,249.0,0.0,336.0,0.00336,0
16,0.011225320304211944,0.273090608170968,0.007662813017464837,2.3841,3414.2096702095364,16.06425702811245,23216.0,0.23216,0
17,0.0015571999452522536,0.46918859275943325,0.007127725418928025,0.1925,713.0,0.0,778.0,0.00778,0
18,0.016604334088253868,0.1151056495901564,0.0033771192338179325,8.3667,28332.270301818127,16.06425702811245,82137.0,0.82137,0
19,0.012743788662704677,0.729632041546169,0.006293271447930545,1.013,629.0,0.0,1967.0,0.01967,1
20,0.015234328479681864,0.2450462339255185,0.002033346046784058,3.6058,8115.288938360078,17.06827309236948,42102.0,0.42102,0
21,0.0072841615721584065,0.21758379903175923,0.0027099144207635363,1.9417,1789.2065982717127,23.092369477911646,13955.0,0.13955,0
22,0.019422751080579594,0.335432123929178,0.009479340129634717,3.3584,7530.899495562078,10.040160642570282,39336.0,0.39336,0
23,0.017894486090047294,0.9052988226552477,0.004190487672062386,1.1465,419.0,0.0,2360.0,0.0236,1
24,0.01563415489235311,0.8025726488350363,0.0025253771835586597,1.1298,253.0,0.0,871.0,0.00871,1
25,0.0041343825446837614,0.9484855223997449,0.0049223716437060165,0.2528,492.0,0.0,562.0,0.00562,0
26,0.009494403773422573,0.6624034756520929,0.003931457209894925,0.8313,393.0,0.0,756.0,0.00756,1
27,0.0011629341860084068,0.673033865701125,0.007322337469756147,0.1002,732.0,0.0,761.0,0.00761,0
28,0.0033395029937306918,0.49563006944343047,0.009624949454259723,0.3908,962.0,0.0,1115.0,0.01115,0
29,0.013756064378876356,0.9080307336659662,0.00595820050213115,0.8787,596.0,0.0,1261.0,0.01261,1
30,0.014971814471383996,0.5255508347922191,0.005952357150675459,1.6523,932.4568492181321,6.024096385542169,7836.0,0.07836,0
31,0.019359941728953937,0.37440826867117394,0.0037118552013624823,2.9991,5799.073561881102,11.04417670682731,32795.0,0.32795,0
32,0.006718759555321593,0.6511637596201352,0.005689846226555425,0.5984,569.0,0.0,736.0,0.00736,0
33,0.007598056208886916,0.5597553085989345,0.003261355777232668,0.7873,326.0,0.0,549.0,0.00549,0
34,0.009550249482133415,0.1502992208505986,0.0001108115356921851,3.6854,8756.613499631236,31.12449799196787,43240.0,0.4324,0
35,0.004032585773960428,0.4109436514950566,0.008674352111497002,0.5692,867.0,0.0,1111.0,0.01111,0
36,0.002859453655108791,0.33392564876164554,0.004351496446664882,0.4967,435.0,0.0,536.0,0.00536,0
37,0.009671387046650893,0.8514287617607978,0.004971676002034568,0.6588,497.0,0.0,724.0,0.00724,0
38,0.004770114176302417,0.3974772802639155,0.0009266590627166892,0.6961,93.0,0.0,137.0,0.00137,0
