sim_index,tau,gamma,rho,peak_I,peak_time,final_R
1144,0.008508320161385637,0.35124289761326843,0.0005934510859419599,59.0,0,264.0
1690,0.015801760214565544,0.5592716477937958,0.004534232089451903,1433.2977343352898,10,10641.0
1586,0.007089425464278869,0.5816000233128726,0.003328388906928266,333.0,0,596.0
2056,0.019567501192023207,0.16014374114765262,0.00023688644911768944,23905.613185393995,18,75684.0
2708,0.00365671273042491,0.6177979407916473,0.006491012985878431,649.0,0,768.0
709,0.009682268979158495,0.3660145435951764,0.0035667722784758866,619.094835641528,18,5728.0
1620,0.004397562052056673,0.45962156638120477,0.0017626884860503418,176.0,0,222.0
2976,0.013181936983234947,0.8260903335883909,0.004565744431968918,457.0,0,1075.0
2536,0.015694877036227708,0.14925631671005762,0.006930112192425617,20869.55512829648,15,70884.0
1455,0.002084407453148155,0.5444875532359487,0.0014613972077051182,146.0,0,162.0
3843,0.012280139650239316,0.6118718094827512,0.005394258201735099,539.0,0,2556.0
3491,0.00034881523788335466,0.9999777098051634,0.0003647506088659227,36.0,0,36.0
3912,0.017349007555755375,0.4286016417027969,0.009208231585749594,2930.616930149657,8,20261.0
3228,0.013067450426545873,0.21610393202104983,0.006773631444263614,7890.761441096875,15,41044.0
3578,0.014982039091445073,0.047588670945972994,0.0066774042969876815,51124.12153986676,19,97113.0
3226,0.013640366444767476,0.05608295110094852,0.00300407419319514,43271.10158780166,22,94286.0
3199,0.018656354005193772,0.7017769389389676,0.0010697197143500956,451.1986495419707,17,6235.0
3343,0.002339152285708152,0.08280721457257556,0.002037524200374342,749.3943572877429,81,7392.0
3579,0.0017521277614995412,0.3859604092831751,0.005597461448555114,560.0,0,611.0
2193,0.001459316185448906,0.5013904186547711,0.004767624893990013,477.0,0,508.0
3332,0.0008161692384995242,0.3803381111051596,0.004189312111374304,419.0,0,444.0
3615,0.013982295988341715,0.8146645129630771,0.001533846875381414,153.0,0,895.0
1188,0.0030030617784750635,0.8980703459139551,0.00756678624597971,757.0,0,810.0
2850,0.007790641002816297,0.9957296009423099,0.004581224073499209,458.0,0,662.0
454,0.002106903814736702,0.5421404620957873,0.0020587708437788416,206.0,0,234.0
1012,0.009613844263352263,0.22823472293672098,0.008908336779763016,3532.3018513741054,17,23608.0
3580,0.015385060418046697,0.28078182778717475,0.004999025420636582,6114.94435638308,14,35259.0
3744,0.002075698546153854,0.793175314954703,0.004190125819659063,419.0,0,438.0
3417,0.01579969822684342,0.8813057529022137,0.0051396784985504535,514.0,0,1974.0
3350,0.0009474931042494387,0.06574851445834616,0.0006308331955929998,63.0,0,99.0
2495,0.010586186510017335,0.041878295817097747,0.008701211059986771,44315.54958747887,26,94821.0
3562,0.01811877510326311,0.14670319056845843,0.0044705590620957485,24270.21056794677,14,77173.0
2298,0.00039568955421239696,0.30049512949105595,0.005872666355016907,587.0,0,599.0
2003,0.013120653417439412,0.18173596319236426,0.00046288841216554757,11119.874948048093,21,50296.0
3963,0.005694812777896663,0.7188478647494128,0.0025347454170732246,253.0,0,318.0
3098,0.005376435698078046,0.2578803341640181,0.0016515368257006605,165.0,0,1213.0
2765,0.01891266188729756,0.6536016745612679,0.0030117651733883462,920.827143417238,11,7984.0
175,0.001184739202028881,0.5688917135202155,0.008944400707277513,894.0,0,938.0
2185,0.0036485768675569782,0.7361932141370189,0.0009792376319386785,98.0,0,107.0
522,0.0033261741114945054,0.7801779094943295,0.009679597124478048,968.0,0,1075.0
1738,0.010766467269926517,0.916638762916658,0.006259870888835634,626.0,0,1041.0
1124,0.00864285927518918,0.5659715015797905,0.008613073808379262,861.0,0,2329.0
512,0.0013946879630654945,0.8811042668398971,0.005056265285823668,506.0,0,518.0
1804,0.013592582020690398,0.5234980557526043,0.002320999646597925,569.3278086929241,10,6694.0
2989,0.012325024192839422,0.08603109415696522,0.008970878322738508,28726.605236636697,20,81826.0
3708,0.008948991710893507,0.39183947742146186,0.004679866341144325,468.0,0,4338.0
3308,0.01211249232040352,0.15261939133258376,0.0002070797353016814,12988.258505142849,25,55273.0
3499,0.017127789381891346,0.0533289614030731,0.003999414129602044,51292.09368751044,18,97355.0
3342,0.003404749811783024,0.881589085062203,0.0033294902886640914,333.0,0,361.0
377,0.008926709532815439,0.2193843743387803,0.008380404876080272,2924.135867453694,18,20401.0
3120,0.0034949447183925558,0.417180961077256,0.009017586593121229,902.0,0,1167.0
2389,0.0017156846670669129,0.22559072769053615,0.0020132670810322217,201.0,0,238.0
122,0.001963553126455815,0.8904278497206362,0.007133945016819208,713.0,0,748.0
1118,0.005631453399735951,0.08216146828149878,0.006224155615818695,10203.373529639995,39,48836.0
3387,0.01890723441729673,0.15468065522212343,0.0070908289294484075,23741.46998693339,13,75866.0
2472,0.014549410520052982,0.9920170302251228,0.007696728081423708,770.0,0,1308.0
2047,0.011075659415290897,0.12319481820693766,0.004340224551724299,16355.252982895881,20,62324.0
192,0.0027183312685062746,0.5657878240069197,0.0012283088117029132,123.0,0,133.0
2927,0.011886483057847182,0.9147728947528296,0.009201103979296004,920.0,0,1787.0
3099,0.003647829649813026,0.039937999571975066,0.004382438214051552,16255.321400373608,64,62484.0
2411,0.019499431141046786,0.7657975683881473,0.00032839253954434556,468.7701421085624,19,5085.0
1953,0.019412970979625917,0.07421323405751826,0.004916065579303153,45542.08592818556,16,95237.0
1875,0.016029432393112737,0.49345717961383073,0.0036410115404325216,1260.2550415423275,13,11925.0
1440,0.004956300577055828,0.15528927021932587,0.005674415999105746,1452.1059441579057,32,11702.0
1152,0.002193076089546061,0.4897161876696221,0.005268845826394542,527.0,0,591.0
31,0.019359941728953937,0.37440826867117394,0.0037118552013624823,5799.073561881102,11,32795.0
865,0.018108273830297388,0.14181264477157263,0.004782492943203466,25218.813268029462,14,78035.0
1276,0.004106203952169071,0.5900188329838648,0.008574726919838791,857.0,0,1023.0
3296,0.015198996167557974,0.6964429457560245,0.007319885660409389,732.0,0,3926.0
2092,0.011567427325131692,0.6277741739408526,0.0015845737983512425,161.7207117296131,42,2426.0
1305,0.018571845734613478,0.6432626509756704,0.004707436835032125,947.2479873201747,5,8459.0
3765,0.01586358645252914,0.03374796587145695,0.0007760853715342053,61091.628099242844,22,99257.0
1701,0.019688449719475594,0.12429625865139131,0.0012413271954608055,31011.616041801255,14,84952.0
2579,0.01854578926661481,0.9610693967723124,0.0009599656634290015,96.0,0,150.0
3679,0.001350692441636322,0.9737179472050218,0.003707083611981598,371.0,0,382.0
743,0.0003242913314845902,0.3073472003718344,0.00727229052301009,727.0,0,744.0
2292,0.012327283483012347,0.910567991179586,0.008475319889212903,848.0,0,1619.0
409,0.0199823631903425,0.18852640949273144,0.0068420679696070555,19957.328536283538,12,69751.0
1873,0.01970541992540116,0.18031992335539543,0.002572383616970316,20858.04741588545,13,71828.0
3191,0.0008290588054506302,0.2927372237764937,0.0012611661927262423,126.0,0,139.0
3115,0.012759190823408489,0.8994886480616777,0.005032104299039315,503.0,0,1385.0
1055,0.013592309982780774,0.296444966700405,0.009289494781413072,4252.683401752402,12,26869.0
1463,0.006618462143382996,0.7477452562863589,0.0016568488434765194,166.0,0,212.0
2552,0.01298168716885818,0.8446780542497869,0.009288768680261596,929.0,0,2010.0
638,0.015542297450207037,0.20057425680257576,0.005417065821101329,12575.514188963325,14,54251.0
1441,0.0012676175818757906,0.817519827269771,0.009488368592474141,949.0,0,984.0
186,0.007661057258812088,0.13101064697900844,0.0038015561592545425,7446.9505804142,30,39513.0
2006,0.009938524259366716,0.6657122465452291,0.004018305944235372,402.0,0,1223.0
1069,0.00818121048885468,0.5180818551252466,0.003535979800787171,354.0,0,871.0
1449,0.004276784856707959,0.4622320288102888,0.0035440238788101985,354.0,0,548.0
1473,0.010103659736597962,0.2314988133084942,0.0009159064279928337,3444.699296837958,27,22812.0
174,0.003542774006365757,0.7953816812189322,0.0008475527633489399,85.0,0,92.0
2597,0.00831506003599928,0.28936101413091553,0.004777757534992336,1016.2487178030577,18,9915.0
2884,0.011103435399883945,0.9391919648521841,0.008960438085812482,896.0,0,1514.0
3510,0.019193744760175723,0.6150910922804906,0.002785839293450852,1172.318171966716,8,10394.0
1677,0.008992088145066994,0.5907189402910916,0.007035404890369757,704.0,0,1269.0
2901,0.01864549357104541,0.5412851464972886,0.0031929415350378334,1524.0693041025288,11,13742.0
3359,0.013439154622199101,0.6662250560738402,0.0011611464461507583,170.1318762060038,11,1439.0
2759,0.010644336696893816,0.2660545963026687,0.00901464436606732,3134.544157653964,14,21399.0
625,0.008408047243222978,0.6341654368804897,0.0005879486892186421,59.0,0,75.0
3759,0.003552048461129903,0.5784726278625246,0.00585413032963607,585.0,0,671.0
680,0.0016231833763010078,0.9457916620316323,0.0014441297546628502,144.0,0,147.0
2045,0.0011342184457744846,0.4066109341620777,0.00476569526790614,477.0,0,516.0
470,0.00825947749759309,0.9084488751554631,0.004536372248905426,454.0,0,609.0
554,0.001179587052793294,0.2728653010201284,0.007938571714981395,794.0,0,870.0
1088,0.009767970329563438,0.9392395119314211,0.005313711348378283,531.0,0,714.0
1132,0.0021754220131290206,0.24291902641989277,0.004256216303093895,426.0,0,565.0
2845,0.011880092012509875,0.10737364321099468,0.00906762742649637,21458.922661801873,19,71842.0
2956,0.003393402297483598,0.30956213486322837,0.009481974054066025,948.0,0,1407.0
178,0.017866042145221805,0.6643675837585835,0.005441053398886242,866.0645710252271,5,8294.0
1067,0.01380292609899198,0.37676353013617725,0.006002119141553558,2355.8911876264615,11,17060.0
1692,0.005160483553545584,0.5483863836745906,0.007384629254683894,738.0,0,965.0
1912,0.018106912519270935,0.5431402820713606,0.008912311824515297,1674.4192113450756,8,12870.0
1727,0.017342474568639774,0.34286032928069266,0.0025819441486200087,5416.739200892758,13,31510.0
2984,0.0016071502342804467,0.3373494332065262,0.007143465045569766,714.0,0,855.0
135,0.0007492362592850406,0.049757419473846334,0.0042520931580466124,425.0,0,1403.0
3569,0.006343449446470941,0.977370255801884,0.005972276085597637,597.0,0,699.0
