replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,100,0.9491211771965027,2569.641357421875,559.4856567382812,3639.466552734375,3509.970947265625,1.411749804019928,best_balanced_mlp_model_1.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
2,123,100,0.9485575556755066,2657.547119140625,558.9497680664062,3757.512451171875,3656.178466796875,1.3786260565121968,best_balanced_mlp_model_2.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
3,456,100,0.947256863117218,2658.748291015625,568.5039672851562,3766.40087890625,3641.341064453125,1.1469708244005838,best_balanced_mlp_model_3.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
4,789,100,0.9475239515304565,2518.39892578125,576.7830200195312,3546.1728515625,3432.241943359375,1.131772760550181,best_balanced_mlp_model_4.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
5,1011,100,0.9472779631614685,2688.8291015625,575.825439453125,3803.98291015625,3686.679931640625,1.0685070315996805,best_balanced_mlp_model_5.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
6,1213,100,0.9460476040840149,2697.747314453125,575.2815551757812,3826.896728515625,3691.06298828125,1.024638013044993,best_balanced_mlp_model_6.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
7,1415,100,0.9477800726890564,2637.046142578125,572.142578125,3730.988037109375,3608.005615234375,0.9180105368296305,best_balanced_mlp_model_7.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
8,1617,100,0.9463977813720703,2809.395751953125,572.9955444335938,3988.416748046875,3866.775390625,0.8946832299232483,best_balanced_mlp_model_8.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
9,1819,100,0.9472737908363342,2601.579345703125,557.3721923828125,3692.09521484375,3555.2705078125,0.9859091798464458,best_balanced_mlp_model_9.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
10,2021,100,0.9477245211601257,2606.708984375,569.9390258789062,3683.7197265625,3566.467529296875,0.9205946485201518,best_balanced_mlp_model_10.pt,experiments\random-sampling\out\results\uniform_random_no_augmentation\trained models
