replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,100,0.9945703744888306,1227.310546875,315.6329040527344,1728.7916259765625,1637.50732421875,1.626992642879486,best_balanced_mlp_model_1.pt,experiments\random-sampling\out\trained models
2,123,100,0.9947043061256409,1225.5460205078125,325.41290283203125,1720.7874755859375,1630.4373779296875,1.8163209835688272,best_balanced_mlp_model_2.pt,experiments\random-sampling\out\trained models
3,456,100,0.9949736595153809,1150.565673828125,307.697021484375,1615.5916748046875,1528.4083251953125,1.9351912935574849,best_balanced_mlp_model_3.pt,experiments\random-sampling\out\trained models
4,789,100,0.9942612051963806,1147.08349609375,324.5192565917969,1604.5675048828125,1512.1641845703125,1.9404781977335612,best_balanced_mlp_model_4.pt,experiments\random-sampling\out\trained models
5,1011,100,0.9941023588180542,1152.0753173828125,335.3212890625,1602.139892578125,1518.7650146484375,2.187814442316691,best_balanced_mlp_model_5.pt,experiments\random-sampling\out\trained models
6,1213,100,0.9947431683540344,1121.7171630859375,326.1664123535156,1572.9329833984375,1466.051513671875,1.8589427471160889,best_balanced_mlp_model_6.pt,experiments\random-sampling\out\trained models
7,1415,100,0.9948424100875854,1060.0523681640625,317.9245910644531,1474.6304931640625,1387.60205078125,1.9494090716044108,best_balanced_mlp_model_7.pt,experiments\random-sampling\out\trained models
8,1617,100,0.9940673112869263,1275.665771484375,338.24102783203125,1795.1832275390625,1693.5728759765625,1.929843533039093,best_balanced_mlp_model_8.pt,experiments\random-sampling\out\trained models
9,1819,100,0.9945065379142761,1214.3892822265625,336.101318359375,1706.16015625,1600.906494140625,1.8122738122940063,best_balanced_mlp_model_9.pt,experiments\random-sampling\out\trained models
10,2021,100,0.9947341084480286,1141.1343994140625,316.34033203125,1603.3646240234375,1503.6983642578125,2.0398443738619485,best_balanced_mlp_model_10.pt,experiments\random-sampling\out\trained models
