replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,20,0.8307042121887207,4449.5478515625,1009.0662231445312,6169.1083984375,6170.4677734375,0.14030052423477174,best_balanced_mlp_model_1.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
2,123,20,0.8116847276687622,4644.53076171875,1026.936279296875,6436.96484375,6469.69287109375,0.1724059462547302,best_balanced_mlp_model_2.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
3,456,20,0.821744978427887,5063.33056640625,1053.968505859375,7040.49951171875,7095.52294921875,0.14494345585505167,best_balanced_mlp_model_3.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
4,789,20,0.841792643070221,5380.07763671875,985.4131469726562,7574.46826171875,7580.3544921875,0.1463100552558899,best_balanced_mlp_model_4.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
5,1011,20,0.8247343897819519,4508.1953125,1011.6109008789062,6249.330078125,6263.6455078125,0.1473934809366862,best_balanced_mlp_model_5.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
6,1213,20,0.8243259787559509,4598.58349609375,1024.910400390625,6386.14794921875,6384.69140625,0.1450157046318054,best_balanced_mlp_model_6.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
7,1415,20,0.8318052887916565,4571.904296875,1024.8369140625,6334.765625,6356.10986328125,0.14010754028956096,best_balanced_mlp_model_7.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
8,1617,20,0.8318079710006714,4666.47900390625,993.2024536132812,6491.59619140625,6514.63818359375,0.13830577135086058,best_balanced_mlp_model_8.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
9,1819,20,0.8282355666160583,4497.4052734375,1023.7615966796875,6202.0322265625,6266.42529296875,0.142283034324646,best_balanced_mlp_model_9.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
10,2021,20,0.8311706781387329,4708.60302734375,1012.3604125976562,6563.5302734375,6549.9169921875,0.1381794770558675,best_balanced_mlp_model_10.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_noaug
