replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,20,0.40162885189056396,3868.921630859375,281.5198059082031,5679.04150390625,5646.2041015625,1.6497395157814025,best_balanced_mlp_model_1.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
2,123,20,0.41308528184890747,3840.154052734375,273.79742431640625,5640.27392578125,5606.39013671875,1.7595690528551737,best_balanced_mlp_model_2.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
3,456,20,0.37508779764175415,4519.29443359375,327.5556945800781,6617.935546875,6612.39404296875,1.269117828210195,best_balanced_mlp_model_3.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
4,789,20,0.3651299476623535,4717.6435546875,288.8435363769531,6955.9951171875,6908.091796875,0.9935030221939087,best_balanced_mlp_model_4.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
5,1011,20,0.40390050411224365,4170.62841796875,305.0653991699219,6116.88330078125,6089.93603515625,1.1094417015711466,best_balanced_mlp_model_5.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
6,1213,20,0.391085684299469,4391.77392578125,313.0987548828125,6446.96728515625,6415.25439453125,0.9361627499262491,best_balanced_mlp_model_6.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
7,1415,20,0.41956502199172974,3969.429931640625,320.3716735839844,5794.76318359375,5793.15478515625,0.8485058148701986,best_balanced_mlp_model_7.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
8,1617,20,0.3531634211540222,5112.23583984375,312.1188049316406,7538.92333984375,7485.6650390625,0.8605296452840169,best_balanced_mlp_model_8.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
9,1819,20,0.3277229070663452,4865.041015625,322.9682312011719,7156.86328125,7115.2880859375,0.8706013798713684,best_balanced_mlp_model_9.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
10,2021,20,0.38416534662246704,4205.26025390625,294.8206481933594,6181.91064453125,6139.0517578125,0.8494169592857361,best_balanced_mlp_model_10.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\MCMC_noaug
