replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,20,0.8456371426582336,4620.748046875,1120.3468017578125,6334.62646484375,6407.2705078125,0.13314143419265748,best_balanced_mlp_model_1.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
2,123,20,0.8351060152053833,4803.45068359375,1129.040771484375,6591.5517578125,6689.75927734375,0.14470419486363728,best_balanced_mlp_model_2.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
3,456,20,0.8382614254951477,5206.96337890625,1175.715576171875,7138.57470703125,7306.60205078125,0.14881362120310465,best_balanced_mlp_model_3.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
4,789,20,0.8629577159881592,5454.80517578125,1083.3626708984375,7593.53173828125,7687.521484375,0.16979829867680868,best_balanced_mlp_model_4.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
5,1011,20,0.8517172336578369,4478.736328125,1086.8453369140625,6129.37158203125,6219.99560546875,0.16402491331100463,best_balanced_mlp_model_5.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
6,1213,20,0.8456945419311523,4743.99169921875,1131.235107421875,6522.30712890625,6578.43310546875,0.15179869731267293,best_balanced_mlp_model_6.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
7,1415,20,0.8502517938613892,4727.44482421875,1122.0517578125,6486.6220703125,6573.6630859375,0.20192883809407552,best_balanced_mlp_model_7.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
8,1617,20,0.854385495185852,5039.9033203125,1077.001220703125,6975.3955078125,7067.31298828125,0.13863782882690429,best_balanced_mlp_model_8.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
9,1819,20,0.8469713926315308,4720.7294921875,1150.8663330078125,6438.3125,6573.00927734375,0.1379690686861674,best_balanced_mlp_model_9.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
10,2021,20,0.8406608700752258,4899.314453125,1149.658447265625,6744.40673828125,6803.87841796875,0.13801857630411785,best_balanced_mlp_model_10.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_noaug
